time_s,a_m,e_,i_deg,Omega_deg,omega_deg,nu_deg
0.0,6828137.0,0.0,51.60000000000001,0.0,0.0,0.0
10.0,6828136.999999999,2.5526282353370086e-16,51.59999999999999,0.0,0.0,359.35888168928994
20.0,6828136.999999999,2.5526406725963535e-16,51.59999999999999,360.0,0.0,1.28223662142
30.0,6828136.999999999,2.5540859701253533e-16,51.59999999999999,360.0,0.0,358.0766450678696
40.0,6828137.000000003,1.283512032169812e-16,51.59999999999999,360.0,0.0,357.43552675715927
50.0,6828136.999999999,2.5542650882072087e-16,51.59999999999999,360.0,0.0,356.79440844644927
60.0,6828137.000000001,1.2769696515265022e-16,51.59999999999999,360.0,0.0,356.15329013573904
70.0,6828137.000000001,1.3036584310447425e-16,51.59999999999999,0.0,0.0,355.5121718250288
80.0,6828136.999999999,2.563440644003595e-16,51.59999999999999,0.0,0.0,354.8710535143187
90.0,6828136.999999999,2.562860278783003e-16,51.59999999999999,0.0,0.0,354.2299352036085
100.0,6828136.999999999,2.595943846539686e-16,51.59999999999999,0.0,0.0,353.5888168928983
110.0,6828136.999999997,5.1200009714543485e-16,51.59999999999999,0.0,0.0,352.94769858218814
120.0,6828136.999999997,5.127527934379183e-16,51.59999999999997,360.0,0.0,352.306580271478
130.0,6828136.999999997,5.170337222527154e-16,51.59999999999999,360.0,0.0,351.66546196076786
140.0,6828136.999999997,5.155878357003033e-16,51.59999999999999,360.0,0.0,351.02434365005774
150.0,6828136.999999997,5.175151944751748e-16,51.59999999999997,360.0,0.0,350.3832253393475
160.0,6828136.999999997,5.17031586756551e-16,51.59999999999999,360.0,0.0,349.7421070286374
170.0,6828136.999999995,7.720000438290755e-16,51.59999999999997,360.0,0.0,349.10098871792724
180.0,6828136.999999997,5.270376563093089e-16,51.59999999999997,360.0,0.0,348.4598704072171
190.0,6828136.999999997,5.250370810541751e-16,51.59999999999999,360.0,0.0,347.81875209650696
200.0,6828136.999999997,5.377501894315263e-16,51.59999999999997,360.0,0.0,347.17763378579673
210.0,6828136.999999997,5.307866225542167e-16,51.59999999999999,360.0,0.0,346.53651547508656
220.0,6828136.999999997,5.523016238889978e-16,51.59999999999997,360.0,0.0,345.8953971643764
230.0,6828136.999999999,4.267439953850895e-16,51.59999999999997,360.0,0.0,345.2542788536662
240.0,6828136.999999999,4.489073873860411e-16,51.59999999999997,360.0,0.0,344.6131605429561
250.0,6828136.999999997,6.726204535031764e-16,51.59999999999997,360.0,0.0,343.9720422322459
260.0,6828136.999999997,6.897220218487016e-16,51.599999999999966,360.0,0.0,343.33092392153577
270.0,6828136.999999995,9.376774788286117e-16,51.59999999999999,360.0,0.0,342.6898056108256
280.0,6828136.999999995,9.551299661699137e-16,51.599999999999966,360.0,0.0,342.04868730011543
290.0,6828136.999999995,9.468009818729368e-16,51.599999999999966,360.0,0.0,341.40756898940526
300.0,6828136.999999995,9.54248012810091e-16,51.599999999999966,360.0,0.0,340.7664506786951
310.0,6828136.999999995,9.351080390491314e-16,51.59999999999997,360.0,0.0,340.125332367985
320.0,6828136.999999995,9.322232721916573e-16,51.599999999999966,360.0,0.0,339.4842140572748
330.0,6828136.999999997,6.799213097586731e-16,51.599999999999966,360.0,0.0,338.84309574656464
340.0,6828136.999999995,9.424648556116167e-16,51.599999999999966,360.0,0.0,338.2019774358545
350.0,6828136.9999999935,1.0832022721861455e-15,51.599999999999966,360.0,0.0,337.5608591251443
360.0,6828136.9999999935,1.0940151482645684e-15,51.59999999999997,0.0,0.0,336.91974081443414
370.0,6828136.999999995,1.0073179821682561e-15,51.59999999999997,360.0,0.0,336.2786225037239
380.0,6828136.9999999935,1.1156682076837704e-15,51.59999999999997,360.0,0.0,335.6375041930138
390.0,6828136.999999995,9.946966285419817e-16,51.59999999999997,360.0,0.0,334.9963858823036
400.0,6828136.999999995,1.0085415926047382e-15,51.599999999999966,0.0,0.0,334.35526757159346
410.0,6828136.999999995,1.042423543623066e-15,51.599999999999966,0.0,0.0,333.7141492608833
420.0,6828136.999999995,9.804362984562295e-16,51.599999999999966,360.0,0.0,333.0730309501731
430.0,6828136.999999995,1.001856442602201e-15,51.599999999999966,360.0,0.0,332.431912639463
440.0,6828136.999999995,1.0477975436387872e-15,51.599999999999966,0.0,0.0,331.79079432875284
450.0,6828136.999999995,1.0325890663793756e-15,51.59999999999997,0.0,0.0,331.14967601804267
460.0,6828136.999999995,1.078755289889301e-15,51.599999999999966,0.0,0.0,330.5085577073325
470.0,6828136.999999995,1.055034614294246e-15,51.59999999999997,0.0,0.0,329.8674393966224
480.0,6828136.999999997,8.359761920797384e-16,51.59999999999997,0.0,0.0,329.22632108591216
490.0,6828136.999999997,8.126857828698404e-16,51.59999999999997,0.0,0.0,328.585202775202
500.0,6828136.999999997,8.144762335709477e-16,51.599999999999966,0.0,0.0,327.9440844644918
510.0,6828136.999999997,8.384443025629192e-16,51.59999999999997,0.0,0.0,327.30296615378165
520.0,6828136.999999997,8.618386558387067e-16,51.59999999999997,0.0,0.0,326.6618478430715
530.0,6828136.999999995,1.046986946320695e-15,51.59999999999997,0.0,0.0,326.0207295323613
540.0,6828136.999999995,1.0458207547816618e-15,51.59999999999997,0.0,0.0,325.3796112216512
550.0,6828136.999999995,1.0855829190987752e-15,51.59999999999997,0.0,0.0,324.73849291094103
560.0,6828136.999999997,9.660384138270117e-16,51.59999999999997,360.0,0.0,324.0973746002309
570.0,6828137.000000001,7.8063127557551465e-16,51.59999999999997,0.0,0.0,323.45625628952075
580.0,6828136.999999999,8.758522242345232e-16,51.59999999999997,360.0,0.0,322.8151379788106
590.0,6828137.000000001,8.587072860950948e-16,51.59999999999997,360.0,0.0,322.1740196681004
600.0,6828136.999999997,9.730269101934673e-16,51.59999999999997,360.0,0.0,321.53290135739024
610.0,6828136.999999995,1.2325642107688279e-15,51.59999999999997,0.0,0.0,320.8917830466801
620.0,6828136.999999997,1.1222016204095982e-15,51.59999999999997,0.0,0.0,320.2506647359699
630.0,6828136.999999995,1.2423835736974495e-15,51.59999999999997,360.0,0.0,319.60954642525974
640.0,6828136.999999995,1.2499644000548884e-15,51.59999999999997,360.0,0.0,318.96842811454957
650.0,6828136.999999997,1.1931594111592798e-15,51.59999999999997,360.0,0.0,318.3273098038394
660.0,6828136.999999999,1.1100947514326485e-15,51.599999999999966,360.0,0.0,317.68619149312923
670.0,6828136.999999997,1.1837379122934896e-15,51.59999999999997,360.0,0.0,317.0450731824191
680.0,6828136.999999997,1.2244688383757243e-15,51.59999999999997,360.0,0.0,316.40395487170895
690.0,6828137.000000001,1.0352691592288545e-15,51.59999999999997,360.0,0.0,315.7628365609988
700.0,6828136.999999997,1.116150559120036e-15,51.59999999999997,360.0,0.0,315.1217182502886
710.0,6828136.999999999,1.0039051802444258e-15,51.59999999999997,360.0,0.0,314.48059993957844
720.0,6828137.000000001,9.238307668555187e-16,51.59999999999997,360.0,0.0,313.8394816288683
730.0,6828137.000000001,8.56809456740417e-16,51.59999999999997,360.0,0.0,313.19836331815816
740.0,6828137.000000001,9.18922637378382e-16,51.59999999999997,360.0,0.0,312.557245007448
750.0,6828137.000000001,9.289738297573479e-16,51.59999999999997,0.0,0.0,311.91612669673776
760.0,6828137.000000001,9.464330572940457e-16,51.599999999999966,0.0,0.0,311.2750083860276
770.0,6828137.000000003,1.018743694036355e-15,51.599999999999966,0.0,0.0,310.6338900753175
780.0,6828137.000000001,8.927444243519914e-16,51.59999999999997,0.0,0.0,309.9927717646073
790.0,6828137.000000001,8.958314970227992e-16,51.59999999999997,0.0,0.0,309.35165345389714
800.0,6828137.000000003,9.422308713973414e-16,51.59999999999997,0.0,0.0,308.710535143187
810.0,6828137.000000004,9.53702932812001e-16,51.59999999999997,360.0,0.0,308.0694168324768
820.0,6828137.000000003,9.15513498958918e-16,51.59999999999997,0.0,0.0,307.4282985217667
830.0,6828137.000000003,9.810657295709407e-16,51.59999999999997,0.0,0.0,306.7871802110565
840.0,6828137.000000003,9.244520216014759e-16,51.59999999999999,360.0,0.0,306.14606190034635
850.0,6828137.000000003,9.787312974153343e-16,51.59999999999999,0.0,0.0,305.5049435896362
860.0,6828137.000000003,9.842645868335462e-16,51.59999999999999,360.0,0.0,304.863825278926
870.0,6828137.000000004,9.641177836255126e-16,51.59999999999999,360.0,0.0,304.22270696821585
880.0,6828137.000000004,9.988830713321668e-16,51.59999999999999,360.0,0.0,303.5815886575057
890.0,6828137.000000004,9.6171394694825e-16,51.59999999999999,360.0,0.0,302.9404703467955
900.0,6828137.000000004,8.836337603579637e-16,51.59999999999999,360.0,0.0,302.29935203608534
910.0,6828137.000000003,8.517536371167988e-16,51.59999999999999,360.0,0.0,301.65823372537517
920.0,6828137.000000004,8.777193323844895e-16,51.59999999999999,360.0,0.0,301.017115414665
930.0,6828137.000000004,8.834526212712612e-16,51.59999999999999,360.0,0.0,300.37599710395483
940.0,6828137.000000004,8.363131862751721e-16,51.59999999999999,360.0,0.0,299.7348787932447
950.0,6828137.000000004,7.510804932421153e-16,51.59999999999999,360.0,0.0,299.0937604825345
960.0,6828137.000000004,7.085476259330745e-16,51.599999999999994,360.0,0.0,298.4526421718244
970.0,6828137.000000004,8.025640280743505e-16,51.59999999999999,360.0,0.0,297.8115238611142
980.0,6828137.000000004,7.967032600460639e-16,51.59999999999999,0.0,0.0,297.17040555040404
990.0,6828137.000000005,8.969617459663792e-16,51.59999999999999,0.0,0.0,296.52928723969393
1000.0,6828137.000000005,8.951707691481968e-16,51.599999999999994,360.0,0.0,295.8881689289837
1010.0,6828137.000000004,7.772584976466493e-16,51.599999999999994,360.0,0.0,295.2470506182736
1020.0,6828137.000000004,7.094756663434395e-16,51.599999999999994,360.0,0.0,294.6059323075634
1030.0,6828137.000000004,7.148735868075359e-16,51.599999999999994,360.0,0.0,293.9648139968532
1040.0,6828137.000000005,6.981299947539379e-16,51.599999999999994,360.0,0.0,293.323695686143
1050.0,6828137.000000005,7.277027871942961e-16,51.60000000000001,360.0,0.0,292.68257737543286
1060.0,6828137.0000000065,8.485345729204452e-16,51.599999999999994,360.0,0.0,292.04145906472274
1070.0,6828137.0000000065,8.540415774369184e-16,51.599999999999994,360.0,0.0,291.4003407540126
1080.0,6828137.000000008,9.748607267599287e-16,51.60000000000001,360.0,0.0,290.7592224433024
1090.0,6828137.0000000065,8.388066153786298e-16,51.60000000000001,360.0,0.0,290.11810413259224
