time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
480.0,5866701.398173577,2170044.4308105786,2737914.674299624,-3909.2121213927726,4077.5985871383587,5144.649044563288
490.0,5827242.818415144,2210683.7140389737,2789188.688934651,-3982.421488143763,4050.173252499108,5110.046883847005
500.0,5787054.630499971,2251046.2054946558,2840113.4792655692,-4055.1322301948953,4022.2408102047757,5074.8049125026155
510.0,5746141.866246813,2291126.8515349487,2890682.6691821725,-4127.335243695149,3993.8047575762,5038.927543050851
520.0,5704509.648196028,2330920.633806029,2940889.9270977066,-4199.021488364372,3964.8686549894605,5002.419267568363
530.0,5662163.188968201,2370422.569871256,2990728.9667416243,-4270.181988625183,3935.436125430098,4965.284657125278
540.0,5619107.790611493,2409627.713835005,3040193.547946666,-4340.807834726771,3905.5108540394917,4927.528361212878
550.0,5575348.843937787,2448531.156961925,3089277.477430169,-4410.890183860453,3875.096587653458,4889.15510716145
560.0,5530891.827847726,2487128.028291543,3137974.6095695067,-4480.420261266851,3844.19713433312,4850.169699548396
570.0,5485742.308644718,2525413.495248142,3186278.8471715595,-4549.389361334546,3812.8163628881175,4810.577019596667
580.0,5439905.9393380005,2563382.7642458277,3234184.142236123,-4617.78884869008,3780.9582023922026,4770.382024563603
590.0,5393388.458934848,2601031.0812887168,3281684.4967131545,-4685.610159279157,3748.626641691298,4729.589747120256
600.0,5346195.69172201,2638353.7325661695,3328773.9632537705,-4752.844801438919,3715.825728904067,4688.205294721262
610.0,5298333.546536474,2675346.0450429865,3375446.64595489,-4819.484356961156,3682.5595709150625,4646.233848965359
620.0,5249808.016025639,2712003.3870445043,3421696.7010974414,-4885.520482146319,3648.8323328605197,4603.680664946617
630.0,5200625.175897001,2748321.1688365107,3467518.337878032,-4950.944908848208,3614.6482376068534,4560.551070596463
640.0,5150791.184157435,2784294.843199908,3512905.8191339946,-5015.749445509192,3580.0115652219283,4516.850466016596
650.0,5100312.280342169,2819919.906000054,3557853.4620617167,-5079.925978185848,3544.9266524391674,4472.584322802854
660.0,5049194.784733559,2855191.89675071,3602355.6389281643,-5143.466471564878,3509.397892114565,4427.758183360139
670.0,4997445.097569747,2890106.399172521,3646406.77777551,-5206.362969969179,3473.4297326766723,4382.377660208468
680.0,4945069.69824331,2924659.0417459626,3690001.3631187784,-5268.607598353951,3437.0266775696277,4336.448435280255
690.0,4892075.144489999,2958845.4982586824,3733133.936636418,-5330.192563292698,3400.193284689294,4289.976259208893
700.0,4838468.071567669,2992661.488347171,3775799.097853721,-5391.110153953014,3362.934165812583,4242.966950608738
710.0,4784255.1914255,3026102.77803269,3817991.5048189955,-5451.352743062033,3325.2539860200295,4195.426395346584
720.0,4729443.291863622,3059165.1802513935,3859705.8747724127,-5510.912787861412,3287.157463111694,4147.3605458047105
730.0,4674039.235683234,3091844.555378575,3900936.9848074415,-5569.782831051726,3248.649367016465,4098.775420135608
740.0,4618049.959827342,3124136.811746976,3941679.6725247917,-5627.95550172618,3209.734519194832,4049.6771015084696
750.0,4561482.4745122045,3156037.9061590875,3981928.8366787774,-5685.423516293485,3170.417792035208,4000.071737347534
760.0,4504343.862349613,3187543.8443933856,4021679.437816027,-5742.179679389816,3130.704108243876,3949.965538562393
770.0,4446641.277460099,3218650.6817044322,4060926.498906455,-5798.216884779714,3090.5984402286326,3899.364778770342
780.0,4388381.944577198,3249354.5233167843,4099665.105966417,-5853.528116245834,3050.105809476214,3848.275793510887
790.0,4329573.15814286,3279651.524912643,4137890.4086739733,-5908.1064484674225,3009.23128592357,3796.7049794524914
800.0,4270222.281394145,3309537.8931131875,4175597.620976179,-5961.945047887407,2967.979987323078,3744.6587935916727
810.0,4210336.745441295,3339009.8859535316,4212782.02168833,-6015.037173568004,2926.357078601767,3692.1437524445455
820.0,4149924.0483373096,3368063.8133512395,4249438.955085084,-6067.376178034728,2884.3677712146346,3639.1664312309126
830.0,4088991.7541391454,3396696.037568349,4285563.831483388,-6118.955508108698,2842.0173224921405,3585.733463051004
840.0,4027547.491960646,3424902.9736668393,4321152.127817138,-6169.768705727137,2799.311034981955,3531.8515380549707
850.0,3965598.9550173283,3452681.089957489,4356199.3882034905,-6219.809408751962,2756.254255785045,3477.5274026052352
860.0,3903153.8996631424,3480026.908442066,4390701.2245007735,-6269.071351766365,2712.8523758861847,3422.767858431804
