time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
130.0,6756022.252521801,614785.142391476,775665.8061910137,6828137.000000001,6756022.2525218,614785.1423914758,775665.8061910141,6828136.999999999,1.0477378964424133e-09,1.5344418198439977e-16,-1107.500609925864,4695.71313108497,5924.51551007953,7640.429532402147,-1107.5006099258642,4695.713131084969,5924.515510079534,7640.42953240215,3.756829674298002e-12,4.917039884165852e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
140.0,6744524.528885858,661702.8062887876,834861.1658087543,6828137.000000001,6744524.528885857,661702.8062887875,834861.1658087547,6828137.0,1.0477378964424133e-09,1.5344418198439974e-16,-1192.0201238172422,4687.721740613346,5914.432884613587,7640.429532402147,-1192.0201238172426,4687.721740613345,5914.432884613591,7640.42953240215,4.6597737154841516e-12,6.098837369970638e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
150.0,6732182.347542736,708537.620752868,893951.99545661,6828137.000000001,6732182.347542735,708537.6207528679,893951.9954566106,6828137.0,1.1044127145438849e-09,1.6174436959069288e-16,-1276.390389147605,4679.143417328887,5903.609734235678,7640.429532402147,-1276.3903891476054,4679.143417328886,5903.6097342356825,7640.42953240215,4.6597737154841516e-12,6.098837369970638e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-2.288818359375e-05,-4.387239342100173e-16
160.0,6718997.25381266,755283.721764709,952930.896583904,6828137.000000002,6718997.253812659,755283.7217647089,952930.8965839045,6828137.0,1.923496793240577e-09,2.8170155244989623e-16,-1360.6008422188725,4669.979235292661,5892.047414073613,7640.429532402147,-1360.600842218873,4669.97923529266,5892.047414073619,7640.4295324021505,5.550898829703193e-12,7.265165925766991e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
170.0,6704970.898553887,801935.2564127953,1011790.4846541272,6828137.000000001,6704970.898553886,801935.256412795,1011790.4846541277,6828136.999999999,1.1226687069275597e-09,1.6441801137375537e-16,-1444.6409393424842,4660.230341919005,5879.747371803997,7640.429532402146,-1444.6409393424847,4660.230341919005,5879.747371804003,7640.42953240215,5.475883235154604e-12,7.166983494752536e-16,-1.862645149230957e-08,-6.381526429560877e-16,-2.288818359375e-05,-4.387239342100173e-16
180.0,6690105.037956015,848486.3836259266,1070523.3900695308,6828137.000000001,6690105.037956013,848486.3836259264,1070523.3900695315,6828136.999999999,1.9927093256990996e-09,2.918379238288716e-16,-1528.5001581595366,4649.897957831867,5866.711147470974,7640.429532402147,-1528.500158159537,4649.897957831866,5866.711147470978,7640.42953240215,4.6597737154841516e-12,6.098837369970638e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
190.0,6674401.533320087,894931.2749045572,1129122.2590938455,6828137.000000001,6674401.533320085,894931.274904557,1129122.2590938464,6828136.999999999,2.085751954835015e-09,3.054642803498253e-16,-1612.1679989582492,4638.98337671197,5852.940373293397,7640.429532402147,-1612.1679989582497,4638.983376711968,5852.9403732934015,7640.42953240215,4.918844673007683e-12,6.437916418373404e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
200.0,6657862.350825553,941264.1150505611,1187579.754773019,6828137.000000001,6657862.350825552,941264.1150505613,1187579.75477302,6828137.000000001,1.3222238854040097e-09,1.936434323746008e-16,-1695.6339859885966,4627.487965134838,5838.436773460473,7640.429532402147,-1695.633985988597,4627.487965134837,5838.436773460478,7640.4295324021505,5.550898829703193e-12,7.265165925766991e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
210.0,6640489.561284086,987479.1028953332,1245888.5578538466,6828137.000000001,6640489.561284084,987479.1028953332,1245888.5578538473,6828136.999999999,1.9893058914033534e-09,2.913394812381992e-16,-1778.887668773939,4615.413162399695,5823.2021639158775,7640.429532402147,-1778.8876687739391,4615.413162399693,5823.202163915882,7640.42953240215,4.903053798636352e-12,6.417248896600756e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
220.0,6622285.339880305,1033570.4520261312,1304041.3677003903,6828137.000000001,6622285.3398803035,1033570.4520261311,1304041.367700391,6828136.999999999,1.9927093256990996e-09,2.918379238288716e-16,-1861.9186234194888,4602.760480349247,5807.238452130387,7640.429532402147,-1861.9186234194892,4602.760480349245,5807.238452130392,7640.42953240215,5.770097023036906e-12,7.552058426252887e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
