time_s,x_num_m,y_num_m,z_num_m,r_num_m,x_ana_m,y_ana_m,z_ana_m,r_ana_m,r_error_norm_m,r_error_rel,vx_num_ms,vy_num_ms,vz_num_ms,v_num_ms,vx_ana_ms,vy_ana_ms,vz_ana_ms,v_ana_ms,v_error_norm_ms,v_error_rel,energy_error_Jkg,energy_error_rel,|h|_error_m2s,|h|_error_rel
100.0,6785434.811025301,473593.8454751612,597526.723773159,6828137.0,6785434.811025301,473593.84547516133,597526.723773159,6828137.0,1.1641532182693481e-10,1.7049353553822194e-17,-853.1524862175149,4716.156068070874,5950.308077441205,7640.429532402148,-853.1524862175152,4716.156068070877,5950.308077441205,7640.42953240215,2.737941617577302e-12,3.583491747376268e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
110.0,6776478.674229089,520724.7735040805,656991.155759714,6828136.999999999,6776478.674229089,520724.77350408066,656991.1557597138,6828136.999999999,2.098707060483278e-10,3.0736159225910055e-17,-938.0561833617808,4709.931184909475,5942.454229514677,7640.429532402149,-938.0561833617809,4709.931184909477,5942.454229514676,7640.42953240215,2.8783208338545963e-12,3.7672238473609127e-16,-1.1175870895385742e-08,-3.8289158577365256e-16,-7.62939453125e-06,-1.462413114033391e-16
120.0,6766674.078861859,567790.503453221,716373.3282418882,6828137.000000001,6766674.078861858,567790.5034532213,716373.3282418881,6828136.999999999,9.670182902969041e-10,1.4162256707750654e-16,-1022.8424298584268,4703.116588170441,5933.856348224168,7640.429532402149,-1022.8424298584268,4703.116588170443,5933.856348224168,7640.42953240215,1.8189894035458565e-12,2.3807423337022345e-16,3.725290298461914e-09,1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
130.0,6756022.252521802,614785.1423914756,775665.806191014,6828137.000000001,6756022.2525218,614785.1423914758,775665.8061910141,6828136.999999999,1.8807470823409397e-09,2.754407362273106e-16,-1107.5006099258642,4695.713131084967,5924.515510079535,7640.429532402149,-1107.5006099258642,4695.713131084969,5924.515510079534,7640.42953240215,2.033691978340166e-12,2.6617508475348424e-16,3.725290298461914e-09,1.276305285912175e-16,7.62939453125e-06,1.462413114033391e-16
140.0,6744524.528885858,661702.8062887873,834861.1658087546,6828137.000000001,6744524.528885857,661702.8062887875,834861.1658087547,6828137.0,9.670182902969041e-10,1.4162256707750651e-16,-1192.0201238172426,4687.721740613343,5914.432884613591,7640.429532402149,-1192.0201238172426,4687.721740613345,5914.432884613591,7640.42953240215,1.8189894035458565e-12,2.3807423337022345e-16,3.725290298461914e-09,1.276305285912175e-16,0.0,0.0
150.0,6732182.347542737,708537.6207528678,893951.9954566105,6828137.000000002,6732182.347542735,708537.6207528679,893951.9954566106,6828137.0,1.8699069512319996e-09,2.7385316832863776e-16,-1276.3903891476052,4679.143417328885,5903.6097342356825,7640.429532402149,-1276.3903891476054,4679.143417328886,5903.6097342356825,7640.42953240215,9.374856803373542e-13,1.227006513654225e-16,1.1175870895385742e-08,3.8289158577365256e-16,0.0,0.0
160.0,6718997.25381266,755283.7217647088,952930.8965839044,6828137.000000002,6718997.253812659,755283.7217647089,952930.8965839045,6828137.0,1.8699069512319996e-09,2.7385316832863776e-16,-1360.600842218873,4669.979235292658,5892.047414073618,7640.429532402149,-1360.600842218873,4669.97923529266,5892.047414073619,7640.4295324021505,2.033691978340166e-12,2.661750847534842e-16,3.725290298461914e-09,1.276305285912175e-16,0.0,0.0
170.0,6704970.898553887,801935.2564127949,1011790.4846541276,6828137.000000001,6704970.898553886,801935.256412795,1011790.4846541277,6828136.999999999,9.457625454100735e-10,1.3850960304546813e-16,-1444.6409393424844,4660.230341919001,5879.747371804003,7640.429532402148,-1444.6409393424847,4660.230341919005,5879.747371804003,7640.42953240215,3.6450773090749405e-12,4.770775378028948e-16,-3.725290298461914e-09,-1.276305285912175e-16,0.0,0.0
180.0,6690105.037956013,848486.3836259262,1070523.390069531,6828136.999999999,6690105.037956013,848486.3836259264,1070523.3900695315,6828136.999999999,5.206251464550825e-10,7.62470270375481e-17,-1528.5001581595368,4649.897957831862,5866.711147470977,7640.429532402147,-1528.500158159537,4649.897957831866,5866.711147470978,7640.42953240215,3.756829674298002e-12,4.917039884165852e-16,-2.60770320892334e-08,-8.934137001385226e-16,-2.288818359375e-05,-4.387239342100173e-16
190.0,6674401.533320086,894931.2749045569,1129122.2590938462,6828137.0,6674401.533320085,894931.274904557,1129122.2590938464,6828136.999999999,9.670182902969041e-10,1.4162256707750654e-16,-1612.1679989582492,4638.983376711965,5852.940373293401,7640.429532402147,-1612.1679989582497,4638.983376711968,5852.9403732934015,7640.42953240215,2.9118037843694986e-12,3.8110472350028047e-16,-1.862645149230957e-08,-6.381526429560877e-16,-7.62939453125e-06,-1.462413114033391e-16
200.0,6657862.350825551,941264.1150505608,1187579.7547730196,6828136.999999999,6657862.350825552,941264.1150505613,1187579.75477302,6828137.000000001,1.1406325468715177e-09,1.6704886660468552e-16,-1695.6339859885964,4627.487965134834,5838.436773460477,7640.429532402147,-1695.633985988597,4627.487965134837,5838.436773460478,7640.4295324021505,4.124184931064759e-12,5.397844340523766e-16,-2.60770320892334e-08,-8.934137001385226e-16,-2.288818359375e-05,-4.387239342100173e-16
210.0,6640489.561284085,987479.102895333,1245888.5578538473,6828137.000000001,6640489.561284084,987479.1028953332,1245888.5578538473,6828136.999999999,9.599853366654507e-10,1.405925711018175e-16,-1778.887668773939,4615.413162399689,5823.202163915881,7640.429532402147,-1778.8876687739391,4615.413162399693,5823.202163915882,7640.42953240215,3.756829674298002e-12,4.917039884165852e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
220.0,6622285.339880304,1033570.4520261307,1304041.3677003914,6828137.000000001,6622285.3398803035,1033570.4520261311,1304041.367700391,6828136.999999999,1.0982599495976003e-09,1.608432797405208e-16,-1861.9186234194888,4602.760480349241,5807.238452130392,7640.429532402148,-1861.9186234194892,4602.760480349245,5807.238452130392,7640.42953240215,3.6662903532026344e-12,4.798539581648303e-16,-3.725290298461914e-09,-1.276305285912175e-16,-7.62939453125e-06,-1.462413114033391e-16
230.0,6603251.965899429,1079532.3915105723,1362030.9032080672,6828137.0,6603251.96589943,1079532.3915105728,1362030.9032080667,6828137.000000001,1.1406325468715177e-09,1.6704886660468552e-16,-1944.7164539174512,4589.531503180392,5790.547636863059,7640.429532402147,-1944.716453917451,4589.531503180397,5790.547636863058,7640.429532402149,4.643101841943948e-12,6.077016772752249e-16,-1.862645149230957e-08,-6.381526429560877e-16,-1.52587890625e-05,-2.924826228066782e-16
240.0,6583391.822441897,1125359.166619192,1419849.9037152834,6828136.999999999,6583391.822441898,1125359.1666191923,1419849.9037152831,6828137.0,9.878167619740788e-10,1.4466856215305563e-16,-2027.2707934486657,4575.727887245889,5773.131807910951,7640.429532402146,-2027.2707934486652,4575.727887245895,5773.1318079109515,7640.42953240215,5.550898829703193e-12,7.265165925766992e-16,-3.3527612686157227e-08,-1.1486747573209577e-15,-2.288818359375e-05,-4.387239342100173e-16
