time_s,a_m,e_,i_deg,Omega_deg,omega_deg,nu_deg
190.0,6828136.994860986,7.526101601371159e-10,51.59999999999966,360.0,180.00622805164105,192.17501985197939
200.0,6828136.994860866,7.526266923038907e-10,51.59999999999958,360.0,180.00662019796283,192.81574601641415
210.0,6828136.994860916,7.526155626038236e-10,51.599999999999234,360.0,180.00707434710841,193.45641017792852
220.0,6828136.994861058,7.526041611512669e-10,51.59999999999911,360.0,180.00679633672058,194.09780649897664
230.0,6828136.994861027,7.526060119294557e-10,51.599999999999014,360.0,180.00727417306578,194.738446973417
240.0,6828136.994861073,7.526068100754582e-10,51.599999999999156,360.0,180.00734862732304,195.37949082999697
250.0,6828136.99486117,7.525942149392091e-10,51.59999999999932,360.0,180.00698679188915,196.02097097611292
260.0,6828136.994861109,7.52601522345618e-10,51.599999999999405,0.0,180.00714768686043,196.66192839185743
270.0,6828136.994860971,7.526268443786755e-10,51.59999999999983,0.0,180.00742491800327,197.30276947150594
280.0,6828136.994860897,7.526363857277781e-10,51.599999999999696,360.0,180.0078364936783,197.9434762066742
290.0,6828136.994860834,7.526423769567989e-10,51.599999999999845,360.0,180.00819952938252,198.58423148170365
300.0,6828136.994860892,7.526388764861855e-10,51.59999999999994,360.0,180.00810846987483,199.22544085203646
310.0,6828136.994860811,7.526507821969364e-10,51.60000000000031,0.0,180.00863603270017,199.8660315998951
320.0,6828136.994860765,7.526551727808148e-10,51.60000000000059,0.0,180.00911181216148,200.50667413125674
330.0,6828136.994860702,7.5265968907894e-10,51.60000000000039,0.0,180.00936933787276,201.14753491635415
340.0,6828136.994860825,7.526440112867062e-10,51.599999999999966,360.0,180.0092418434373,201.78878072156388
350.0,6828136.994860856,7.526356942303051e-10,51.600000000000115,0.0,180.01009585236955,202.42904502342887
360.0,6828136.994860844,7.526355135943543e-10,51.59999999999997,360.0,180.0104902191432,203.06976896744496
370.0,6828136.994860803,7.526300606873583e-10,51.599999999999746,360.0,180.01110853449612,203.71026896290047
380.0,6828136.994860826,7.526290428928484e-10,51.59999999999963,360.0,180.0110120766625,204.35148373153734
390.0,6828136.994860735,7.526420042617645e-10,51.59999999999947,360.0,180.01177807489478,204.9918360441347
400.0,6828136.9948606,7.526506946803432e-10,51.599999999999525,360.0,180.01249342869403,205.6322390011557
410.0,6828136.9948604945,7.526526189993522e-10,51.599999999999724,360.0,180.013107898539,206.27274284214397
420.0,6828136.994860519,7.5264566010072e-10,51.600000000000044,360.0,180.0138517242085,206.9131173272919
430.0,6828136.994860644,7.526254666410815e-10,51.600000000000115,360.0,180.01384438004038,207.5542429823367
440.0,6828136.9948607115,7.526169215184945e-10,51.600000000000605,360.0,180.01372443941278,208.1954812337556
450.0,6828136.994860643,7.52624638195667e-10,51.60000000000114,360.0,180.01416121860854,208.8361627653809
460.0,6828136.994860582,7.526315232051963e-10,51.60000000000141,360.0,180.01481959458965,209.47662270030395
470.0,6828136.994860372,7.526503974233225e-10,51.60000000000138,0.0,180.0158416587965,210.11671894692154
480.0,6828136.9948603995,7.526397256619343e-10,51.600000000001714,0.0,180.01620330709216,210.75747560948523
490.0,6828136.994860509,7.526263472050094e-10,51.600000000001955,0.0,180.01622774438448,211.39856948305635
500.0,6828136.994860455,7.526338700217946e-10,51.60000000000196,0.0,180.01623612672472,212.03967941157129
510.0,6828136.994860551,7.526241548698674e-10,51.600000000002076,0.0,180.01552904425114,212.68150480492565
520.0,6828136.994860579,7.526267051964921e-10,51.600000000001955,0.0,180.01437256730188,213.32377959276138
530.0,6828136.9948605215,7.526226696248124e-10,51.60000000000184,0.0,180.0159501142165,213.96332035673683
540.0,6828136.994860441,7.526275305921339e-10,51.600000000001515,0.0,180.01693886834266,214.60344991350564
550.0,6828136.994860462,7.526265045295883e-10,51.60000000000128,0.0,180.01679959178355,215.24470750093667
560.0,6828136.994860292,7.526392026444976e-10,51.600000000000655,360.0,180.01881567353996,215.88380973009956
570.0,6828136.994860389,7.5262563923613e-10,51.60000000000046,360.0,180.01817253122283,216.52557118334238
580.0,6828136.99486041,7.52618920561418e-10,51.600000000000286,360.0,180.01779241562878,217.16706960985962
590.0,6828136.994860391,7.526269664789937e-10,51.60000000000021,360.0,180.01783934184533,217.80814099456072
600.0,6828136.994860412,7.526236015503887e-10,51.600000000000286,360.0,180.0181226911301,218.44897595621157
610.0,6828136.994860363,7.526224996304681e-10,51.60000000000044,0.0,180.01915481811835,219.08906214014672
620.0,6828136.9948601695,7.526292683166747e-10,51.600000000000286,360.0,180.02109408362222,219.7282411856013
630.0,6828136.994860193,7.52624882180078e-10,51.60000000000048,360.0,180.0213345833874,220.36911899677773
640.0,6828136.994860162,7.526302766080636e-10,51.60000000000065,0.0,180.0217346809828,221.00983721013253
650.0,6828136.994860174,7.526253934598018e-10,51.60000000000084,0.0,180.02139268349774,221.6512975185837
660.0,6828136.994860219,7.526253682178795e-10,51.600000000000456,360.0,180.02089975926606,222.29290875378805
670.0,6828136.9948602,7.526209358244548e-10,51.600000000000826,0.0,180.02150907503182,222.93341774900992
680.0,6828136.994860112,7.526244638358803e-10,51.60000000000093,0.0,180.02273608059545,223.57330905444562
690.0,6828136.994859958,7.526449603314967e-10,51.60000000000061,0.0,180.02362873172726,224.21353471432792
700.0,6828136.994860126,7.526280290856614e-10,51.6000000000005,0.0,180.02218126498744,224.85610049205224
710.0,6828136.9948602,7.526227371988505e-10,51.600000000000286,360.0,180.02198351465697,225.4974165533903
720.0,6828136.994860217,7.526151219488907e-10,51.60000000000014,360.0,180.02207948104245,226.1384388980302
730.0,6828136.9948600475,7.526237511702529e-10,51.60000000000014,360.0,180.02364638431243,226.77799030578535
740.0,6828136.994860021,7.526204250940349e-10,51.60000000000035,360.0,180.02435082250727,227.41840417862718
750.0,6828136.994860039,7.526123696490406e-10,51.60000000000039,360.0,180.02428222574608,228.05959108640758
760.0,6828136.994860115,7.526058313718504e-10,51.60000000000067,360.0,180.023821355048,228.70117026815217
770.0,6828136.994860074,7.526021065046849e-10,51.60000000000068,360.0,180.02449724920612,229.34161268506216
780.0,6828136.994859951,7.52605957599409e-10,51.60000000000079,0.0,180.0256472042445,229.9815810411077
790.0,6828136.9948599795,7.526114660666977e-10,51.60000000000057,360.0,180.0254312343945,230.62291532200146
