time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
200.0,6657862.350016689,941264.1232250707,-1187579.765086691,-1695.6339795925387,4627.487966350969,-5838.436774994923
210.0,6640489.560396045,987479.1114675137,-1245888.5686692556,-1778.8876620005292,4615.413163564185,-5823.202165385164
220.0,6622285.338909967,1033570.4609944294,-1304041.3790155756,-1861.9186162605708,4602.760481460908,-5807.238453533013
230.0,6603251.9648437705,1079532.400873375,-1362030.9150209918,-1944.7164463645458,4589.531504238228,-5790.547638197754
240.0,6583391.821297997,1125359.1763748277,-1419849.9160238407,-2027.2707854929777,4575.727888249086,-5773.131809176708
250.0,6562707.394890032,1171045.0496927134,-1477491.1427145365,-2109.571297313028,4561.351361794887,-5754.993147043557
260.0,6541201.27544277,1216584.3006628181,-1534947.3780419831,-2191.6076772726715,4546.403724909111,-5736.133922875334
270.0,6518876.155660335,1261971.2274789866,-1592211.4281171868,-2273.3696538909057,4530.886849131924,-5716.556497968058
280.0,6495734.830790948,1307200.1474070277,-1649276.1231139845,-2354.8469900437804,4514.802677275859,-5696.26332354111
290.0,6471780.1982769435,1352265.3974962234,-1706134.3181667496,-2436.029484246176,4498.153223182578,-5675.2569404303085
300.0,6447015.257391991,1397161.3352883758,-1762778.8942649749,-2516.9069719290715,4480.94057147068,-5653.539978769753
310.0,6421443.108865568,1441882.3395242721,-1819202.759144618,-2597.469326712237,4463.166877274739,-5631.115157662558
320.0,6395066.954494723,1486422.8108475045,-1875398.8481761017,-2677.7064616721113,4444.834365975444,-5607.985284840402
330.0,6367890.096743194,1530777.1725055475,-1931360.1252488429,-2757.6083306047444,4425.945332920995,-5584.15325631195
340.0,6339915.9383279225,1574939.8710479995,-1987079.5836522295,-2837.16492928366,4406.502143139672,-5559.622056000254
350.0,6311147.981792994,1618905.3770219116,-2042550.2469528972,-2916.366296712434,4386.507231043733,-5534.394755369201
360.0,6281589.82907112,1662668.185664113,-2097765.169868228,-2995.2025163718913,4365.963100124623,-5508.474513038878
370.0,6251245.18103265,1706222.8175904397,-2152717.439135943,-3073.663717461702,4344.872322639492,-5481.864574390142
380.0,6220117.837022173,1749563.8194817903,-2207400.174379687,-3151.7400761362774,4323.237539289178,-5454.5682711582385
390.0,6188211.694382848,1792685.764766916,-2261806.5289704977,-3229.4218167347867,4301.061458887527,-5426.589021015669
400.0,6155530.747968407,1835583.2543018614,-2315929.690884042,-3306.6992130051144,4278.346858022256,-5397.930327144276
410.0,6122079.089642992,1878250.9170459763,-2369762.8835535333,-3383.5625893216597,4255.096580707287,-5368.595777796633
420.0,6087860.907768813,1920683.4107343948,-2423299.366718193,-3460.0023218967917,4231.313538026701,-5338.589045846737
430.0,6052880.486681748,1962875.4225469327,-2476532.4372671805,-3536.0088399857987,4207.000707770191,-5307.913888330183
440.0,6017142.206154915,2004821.6697732809,-2529455.4300788627,-3611.572627085222,4182.161134060291,-5276.574145973708
450.0,5980650.540850282,2046516.900474432,-2582061.718855334,-3686.6842221243637,4156.797926971164,-5244.573742714363
460.0,5943410.059758435,2087955.8941402615,-2634344.7169520627,-3761.3342206498874,4130.914262139252,-5211.9166852081735
470.0,5905425.4256264875,2129133.4623431675,-2686297.87820259,-3835.513276003309,4104.513380365629,-5178.607062328497
480.0,5866701.394374297,2170044.4493876966,-2737914.69773815,-3909.2121004912688,4077.59858721027,-5144.6490446540465
490.0,5827242.814498967,2210683.732956066,-2789188.7128021186,-3982.421466548401,4050.1732525781363,-5110.046883946742
500.0,5787054.626467808,2251046.2247495158,-2840113.5035591945,-4055.132207892683,4022.2408102972695,-5074.804912619342
510.0,5746141.862099752,2291126.8711253917,-2890682.693899198,-4127.33522067313,3993.804757688838,-5038.927543192992
520.0,5704509.643935337,2330920.6537298877,-2940889.952235398,-4199.021464609606,3964.868655129258,-5002.419267744769
530.0,5662163.184595311,2370422.5901264,-2990728.992297293,-4270.181964124802,3935.4361256044067,-4965.284657345229
540.0,5619107.786128009,2409627.7344193407,-3040193.57391767,-4340.807809467989,3905.510854255994,-4927.52836148607
550.0,5575348.839345483,2448531.1778733954,-3089277.5038139145,-4410.890157830564,3875.0965879201754,-4889.155107497995
560.0,5530891.82314855,2487128.0495281345,-3137974.636363452,-4480.42023445326,3844.197134658417,-4850.169699958849
570.0,5485742.303840783,2525413.5168078844,-3186278.8743732185,-4549.389333724789,3812.8163632806877,-4810.5770200920015
580.0,5439905.934431597,2563382.786126799,-3234184.1698430707,-4617.788820271828,3780.958202861084,-4770.382025155224
590.0,5393388.45392844,2601031.1034890455,-3281684.524723033,-4685.610130040227,3748.6266422458716,-4729.589747819984
600.0,5346195.68661823,2638353.7550840443,-3328773.991664291,-4752.8447713673095,3715.8257295540516,-4688.205295541365
610.0,5298333.541338119,2675346.0678766533,-3375446.674763842,-4819.484326045054,3682.559571670514,-4646.2338499185225
620.0,5249808.010735676,2712003.410192274,-3421696.7303026915,-4885.520450374114,3648.8323337318343,-4603.680666045959
630.0,5200625.170518564,2748321.192296759,-3467518.3674775343,-4950.944876208516,3614.6482386047624,-4560.551071855522
640.0,5150791.178693818,2784294.8669710853,-3512905.849125792,-5015.749411990853,3580.0115663575007,-4516.850467449344
650.0,5100312.27479683,2819919.9300806844,-3557853.4924439457,-5079.925943777976,3544.926653723809,-4472.584324423683
660.0,5049194.779110115,2855191.9211393935,-3602355.6696990607,-5143.466436256842,3509.3978935600117,-4427.758185183853
670.0,4997445.091871974,2890106.4238679428,-3646406.8089334127,-5206.3629337506445,3473.4297342949963,-4382.377662250298
680.0,4945069.692475143,2924659.066746892,-3690001.3946621357,-5268.607561214892,3437.0266793732244,-4336.44843755583
690.0,4892075.138655519,2958845.5235639806,-3733133.968563792,-5330.192525223399,3400.19328669089,-4289.976261734283
700.0,4838468.065671117,2992661.513955789,-3775799.1301637893,-5391.11011494411,3362.934168025228,-4242.966953400409
710.0,4784255.185471259,3026102.803943677,-3817991.53751056,-5451.3527031045105,3325.2539884570906,-4195.426398421392
720.0,4729443.285856224,3059165.206463899,-3859705.9078444005,-5510.9127469466175,3287.157465786861,-4147.360549179939
730.0,4674039.229627349,3091844.5818918543,-3900937.018258912,-5569.782789171399,3248.649369943741,-4098.775423828915
740.0,4618049.953727784,3124136.8385603894,-3941679.706354939,-5627.955458872461,3209.7345223885286,-4049.677105537915
750.0,4561482.468373912,3156037.933272109,-3981928.870886935,-5685.423472458942,3170.4177955099412,-4000.071741731557
760.0,4504343.856177662,3187543.8718056018,-4021679.472401672,-5742.1796345674375,3130.7041120145636,-3949.9655433198136
770.0,4446641.271259694,3218650.7094155443,-4060926.533869213,-5798.2168389629505,3090.5984443104894,-3899.3647839203613
780.0,4388381.93835367,3249354.551326621,-4099665.141306067,-5853.528069428602,3050.1058138847447,-3848.2757990730647
790.0,4329573.151901658,3279651.553221152,-4137890.4443904543,-5908.10640064412,3009.2312906745665,-3796.7049854467555
800.0,4270222.275140828,3309537.921720447,-4175597.6570695876,-5961.944999052923,2967.979992432619,-3744.6588000383013
810.0,4210336.739181535,3339009.914859748,-4212782.05815893,-6015.037123717752,2926.357084086198,-3692.1437593641667
820.0,4149924.042076886,3368063.842556754,-4249438.991933305,-6067.376127164646,2884.367777090576,-3639.166438644493
830.0,4088991.7478839383,3396696.067073643,-4285563.86870984,-6118.9554562152625,2842.0173287764733,-3585.7334709798424
840.0,4027547.4857166302,3424903.0034725317,-4321152.165422599,-6169.768652807385,2799.311041691811,-3531.85154652069
850.0,3965598.9487905693,3452681.1200643424,-4356199.42618892,-6219.809354803498,2756.2542629378145,-3477.527411629772
860.0,3903153.893459792,3480026.9388509886,-4390701.26286732,-6269.071296787381,2712.8523834995,-3422.7678680374033
870.0,3840220.1382456184,3506937.0359608443,-4424653.355606904,-6317.548310848571,2669.1108375706895,-3367.579771989847
880.0,3776805.5628577187,3533408.042077429,-4458051.453388248,-6365.23432735464,2625.0351018736355,-3311.9700333908827
890.0,3712918.1072075283,3559436.642861278,-4490891.374555652,-6412.1233757111095,2580.6306949732825,-3255.9456149366256
900.0,3648565.770414116,3585019.5793649103,-4523169.0073407125,-6458.2095851090635,2535.9031765862987,-3199.513531243761
910.0,3583756.6098026466,3610153.6484408723,-4554880.310377136,-6503.487185260173,2490.8581468849884,-3142.680847971275
920.0,3518498.739895549,3634835.7031427934,-4586021.313206745,-6547.950507119175,2445.5012457960997,-3085.454680935771
930.0,3452800.3313965285,3659062.6531193997,-4616588.116776613,-6591.5939835937015,2399.838152294669,-3027.8421952205463
940.0,3386669.61016754,3682831.4650014574,-4646576.893927247,-6634.412150241265,2353.874583692983,-2969.850604278454
950.0,3320114.856198858,3706139.16278155,-4675983.889871764,-6676.399645953505,2307.6162949247255,-2911.4871690287464
960.0,3253144.4025723673,3728982.8281867146,-4704805.422666018,-6717.55121362737,2261.0690778244325,-2852.7591969479636
970.0,3185766.634418208,3751359.6010438157,-4733037.883669609,-6757.861700823384,2214.238760402311,-2793.6740411549767
980.0,3117989.9878649064,3773266.679637654,-4760677.737997709,-6797.326060410759,2167.131206114531,-2734.2390994903453
990.0,3049822.9489831147,3794701.3210617746,-4787721.524963644,-6835.939351199303,2119.752313129093,-2674.4618135900505
1000.0,2981274.0527230985,3815660.8415618846,-4814165.858512196,-6873.696738558113,2072.1080135873317,-2614.349667953755
1010.0,2912351.8818461155,3836142.616871874,-4840007.427643563,-6910.593495020882,2024.204272861175,-2553.9101890076995
1020.0,2843065.065849783,3856144.082542398,-4865242.996827909,-6946.625000877829,1976.04708880625,-2493.1509441623416
1030.0,2773422.279887622,3875662.734261961,-4889869.406410487,-6981.786744754104,1927.6424910108985,-2432.079540864871
1040.0,2703432.2436828716,3894696.1281704693,-4913883.573007234,-7016.074324174653,1878.9965400412423,-2370.703625646703
1050.0,2633103.720436717,3913241.8811652195,-4937282.489890841,-7049.48344611541,1830.115326682355,-2309.03088316609
1060.0,2562445.515731084,3931297.67119928,-4960063.227367198,-7082.009927540825,1781.0049711756672,-2247.0690352459487
1070.0,2491466.4764261264,3948861.237572223,-4982222.93314223,-7113.6496959276255,1731.671622452664,-2184.8258399070432
1080.0,2420175.4895525337,3965930.3812131807,-5003758.832679018,-7144.398789774689,1682.1214573650009,-2122.30909039662
1090.0,2348581.481198831,3982502.9649561793,-5024668.229545178,-7174.253359099076,1632.3606799111249,-2059.5266142126475
1100.0,2276693.415393762,3998576.9138077344,-5044948.505750477,-7203.209665918044,1582.3955204594909,-1996.4862721237744
1110.0,2204520.292983943,4014150.215206642,-5064597.122074626,-7231.264084717089,1532.2322349684791,-1933.195957185099
1120.0,2132071.1505069006,4029220.919275972,-5083611.618385207,-7258.4131029038845,1481.877104203113,-1869.6635937499059
1130.0,2059355.0590596294,4043787.139067205,-5101989.613945688,-7284.65332124807,1431.336432948667,-1805.8971364774993
1140.0,1986381.1231628433,4057847.0507964836,-5119728.807713519,-7309.981454306851,1380.6165492212565,-1741.9045693372143
1150.0,1913158.479621026,4071398.894072972,-5136826.978628223,-7334.39433083636,1329.7238034755455,-1677.6939046087791
1160.0,1839696.2963784435,4084440.9721192573,-5153281.985889502,-7357.888894188732,1278.6645678096154,-1613.273181879129
1170.0,1766003.7713712608,4096971.651983804,-5169091.76922527,-7380.462202694792,1227.4452351671457,-1548.6504670357883
1180.0,1692090.1313759014,4108989.364745407,-5184254.3491496015,-7402.111430032414,1176.0722185369737,-1483.8338512569844
1190.0,1617964.630853795,4120492.6057096324,-5198767.8272106005,-7422.83386558033,1124.5519501501471,-1418.8314499985645
1200.0,1543636.5507926578,4131479.9345972156,-5212630.386228085,-7442.626914757557,1072.8908806745649,-1353.6514019778965
1210.0,1469115.197544456,4141949.975724387,-5225840.290521102,-7461.488099348255,1021.0954784073132,-1288.3018681548544
1220.0,1394409.9016601902,4151901.4181751222,-5238395.88612526,-7479.415057812004,969.1722284648,-1222.7910307100044
