time_s,energy_Jkg,dE_rel
670.0,-29188081.76374037,-1.047846638156607e-13
680.0,-29188081.763740752,-1.1780297771236886e-13
690.0,-29188081.763741408,-1.4026595071061037e-13
700.0,-29188081.76374069,-1.1576088925798328e-13
710.0,-29188081.76374037,-1.047846638156607e-13
720.0,-29188081.7637403,-1.0235968377607783e-13
730.0,-29188081.763741024,-1.2712000628550313e-13
740.0,-29188081.763741136,-1.309489221374761e-13
750.0,-29188081.76374106,-1.2839631156949414e-13
760.0,-29188081.763740733,-1.1716482507037337e-13
770.0,-29188081.763740912,-1.2329109043353018e-13
780.0,-29188081.76374144,-1.414146254662023e-13
790.0,-29188081.763741314,-1.3707518750063289e-13
800.0,-29188081.76374112,-1.3043840002387972e-13
810.0,-29188081.763740998,-1.2609896205831036e-13
820.0,-29188081.763741,-1.2622659258670942e-13
830.0,-29188081.763740957,-1.2469502624592024e-13
840.0,-29188081.76374083,-1.2048321880874994e-13
850.0,-29188081.76374116,-1.317147053078707e-13
860.0,-29188081.76374092,-1.2354635149032834e-13
870.0,-29188081.76374058,-1.1193197340601029e-13
880.0,-29188081.76374039,-1.0542281645765621e-13
890.0,-29188081.763740413,-1.0618859962805081e-13
900.0,-29188081.76374068,-1.1537799767278598e-13
910.0,-29188081.76374073,-1.1703719454197426e-13
920.0,-29188081.763740767,-1.1831349982596525e-13
930.0,-29188081.763740685,-1.1550562820118506e-13
940.0,-29188081.763741024,-1.2712000628550313e-13
950.0,-29188081.76374119,-1.328633800634626e-13
960.0,-29188081.763740845,-1.2099374092234637e-13
970.0,-29188081.763741888,-1.567302888740942e-13
980.0,-29188081.7637422,-1.6745125325961857e-13
990.0,-29188081.76374156,-1.4537117184657436e-13
1000.0,-29188081.76374097,-1.2546080941631482e-13
1010.0,-29188081.76374045,-1.074649049120418e-13
1020.0,-29188081.76374031,-1.0261494483287603e-13
1030.0,-29188081.76374021,-9.942418162289852e-14
1040.0,-29188081.76374057,-1.1154908182081301e-13
1050.0,-29188081.763740905,-1.2303582937673193e-13
1060.0,-29188081.76374094,-1.2418450413232386e-13
1070.0,-29188081.76374099,-1.2597133152991125e-13
1080.0,-29188081.76374061,-1.1308064816160219e-13
1090.0,-29188081.763740312,-1.0274257536127513e-13
1100.0,-29188081.76374027,-1.0133863954888502e-13
1110.0,-29188081.76374022,-9.955181215129764e-14
1120.0,-29188081.76374053,-1.101451460084229e-13
1130.0,-29188081.763740245,-1.0044522585009133e-13
1140.0,-29188081.763740305,-1.0248731430447693e-13
1150.0,-29188081.763739567,-7.72164696814552e-14
1160.0,-29188081.76373956,-7.683357809625793e-14
1170.0,-29188081.763739523,-7.568490334066603e-14
1180.0,-29188081.76373961,-7.87480360222444e-14
1190.0,-29188081.763739534,-7.606779492586333e-14
1200.0,-29188081.763739288,-6.764418005152276e-14
1210.0,-29188081.7637401,-9.546763524252645e-14
1220.0,-29188081.76374044,-1.070820133268445e-13
1230.0,-29188081.763740204,-9.904129003770125e-14
1240.0,-29188081.763740547,-1.1078329865041841e-13
1250.0,-29188081.76374038,-1.0503992487245893e-13
1260.0,-29188081.763740465,-1.079754270256382e-13
1270.0,-29188081.76374083,-1.2048321880874994e-13
1280.0,-29188081.7637416,-1.4690273818736356e-13
1290.0,-29188081.763741948,-1.587723773284798e-13
1300.0,-29188081.763741605,-1.4703036871576265e-13
1310.0,-29188081.76374114,-1.3107655266587524e-13
1320.0,-29188081.763741154,-1.315870747794716e-13
1330.0,-29188081.763741747,-1.5188032879492844e-13
1340.0,-29188081.763741005,-1.2648185364350766e-13
1350.0,-29188081.763741005,-1.2648185364350766e-13
1360.0,-29188081.763740186,-9.840313739570573e-14
1370.0,-29188081.7637404,-1.056780775144544e-13
1380.0,-29188081.76373966,-8.04072328914327e-14
1390.0,-29188081.76373946,-7.351518435788132e-14
1400.0,-29188081.763738982,-5.717847672279658e-14
1410.0,-29188081.763738666,-4.6329881808873125e-14
1420.0,-29188081.76373892,-5.500875774001189e-14
1430.0,-29188081.76373861,-4.4415423882886636e-14
1440.0,-29188081.76373857,-4.3011488070496544e-14
1450.0,-29188081.76373844,-3.854441957652805e-14
1460.0,-29188081.76373893,-5.5391649325209193e-14
1470.0,-29188081.76373852,-4.1352291201308246e-14
1480.0,-29188081.76373845,-3.879968063332625e-14
1490.0,-29188081.763738688,-4.7095664979267726e-14
1500.0,-29188081.76373918,-6.394289472794886e-14
1510.0,-29188081.76373872,-4.824433973485963e-14
1520.0,-29188081.76373862,-4.4798315468083937e-14
1530.0,-29188081.76373756,-8.423614874340568e-15
1540.0,-29188081.76373728,1.1486747555918957e-15
1550.0,-29188081.76373745,-4.8499600791657816e-15
1560.0,-29188081.763737205,3.701285323573886e-15
1570.0,-29188081.76373754,-7.785462232345071e-15
1580.0,-29188081.76373759,-9.444659101533363e-15
1590.0,-29188081.7637377,-1.3273574953506351e-14
1600.0,-29188081.76373735,-1.2763052839909953e-15
1610.0,-29188081.76373741,-3.318393738376588e-15
1620.0,-29188081.76373726,1.786827397587393e-15
1630.0,-29188081.76373653,2.68024109638109e-14
1640.0,-29188081.76373666,2.2335342469842414e-14
1650.0,-29188081.763737265,1.659196869188294e-15
1660.0,-29188081.76373796,-2.2207711941443318e-14
1670.0,-29188081.763737552,-8.168353817542371e-15
1680.0,-29188081.76373697,1.1742008612717156e-14
1690.0,-29188081.763737388,-2.5526105679819906e-15
1700.0,-29188081.763737533,-7.530201175546871e-15
1710.0,-29188081.76373769,-1.2763052839909952e-14
1720.0,-29188081.76373748,-5.615743249560379e-15
1730.0,-29188081.76373739,-2.68024109638109e-15
1740.0,-29188081.76373825,-3.203526262817398e-14
1750.0,-29188081.763738133,-2.807871624780189e-14
1760.0,-29188081.763737675,-1.2380161254712654e-14
1770.0,-29188081.76373817,-2.9482652060191987e-14
1780.0,-29188081.76373796,-2.2080081413044216e-14
1790.0,-29188081.7637379,-2.0037992958658625e-14
1800.0,-29188081.763737787,-1.620907710668564e-14
1810.0,-29188081.76373728,1.1486747555918957e-15
1820.0,-29188081.76373726,1.786827397587393e-15
1830.0,-29188081.76373655,2.61642583218154e-14
1840.0,-29188081.763737053,8.934136987936967e-15
1850.0,-29188081.763737265,1.659196869188294e-15
1860.0,-29188081.76373711,7.019679061950474e-15
1870.0,-29188081.76373628,3.5481286894949664e-14
1880.0,-29188081.763736084,4.211807437170284e-14
1890.0,-29188081.763735987,4.5436468110079435e-14
1900.0,-29188081.763736486,2.8333977304600092e-14
1910.0,-29188081.76373656,2.5781366736618104e-14
1920.0,-29188081.76373657,2.5526105679819903e-14
1930.0,-29188081.76373688,1.4805141294295544e-14
1940.0,-29188081.76373688,1.4932771822694643e-14
1950.0,-29188081.763736773,1.8506426617869433e-14
1960.0,-29188081.763737228,2.935502153179289e-15
1970.0,-29188081.763737757,-1.5060402351093743e-14
1980.0,-29188081.763737317,0.0
1990.0,-29188081.76373783,-1.7740643447474832e-14
2000.0,-29188081.76373773,-1.4294619180699145e-14
2010.0,-29188081.763737302,2.55261056798199e-16
2020.0,-29188081.76373725,2.169718982784692e-15
2030.0,-29188081.763737317,0.0
2040.0,-29188081.76373754,-7.785462232345071e-15
2050.0,-29188081.763737436,-4.084176908771185e-15
2060.0,-29188081.76373693,1.3273574953506351e-14
2070.0,-29188081.76373708,7.91309276074417e-15
2080.0,-29188081.763737723,-1.4039358123900948e-14
2090.0,-29188081.76373694,1.2763052839909952e-14
2100.0,-29188081.76373739,-2.68024109638109e-15
