time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
460.0,-8.96453857421875e-05,-40885208974.96285,32405217325.23899,52169899586.08654,-0.00127410888671875,-2.442229900435763e-14
470.0,5.53131103515625e-05,-40885208974.962204,32405217325.23851,52169899586.085724,-0.0020904541015625,-4.0070119324514913e-14
480.0,8.96453857421875e-05,-40885208974.96248,32405217325.238346,52169899586.085846,-0.0019683837890625,-3.773025834206149e-14
490.0,0.0001068115234375,-40885208974.962944,32405217325.23843,52169899586.08626,-0.001556396484375,-2.983322752628118e-14
500.0,0.0001583099365234375,-40885208974.96279,32405217325.238293,52169899586.08605,-0.00176239013671875,-3.3781742934171335e-14
510.0,0.0001850128173828125,-40885208974.963135,32405217325.238434,52169899586.08641,-0.00140380859375,-2.6908401298214394e-14
520.0,6.4849853515625e-05,-40885208974.96315,32405217325.238594,52169899586.086525,-0.00128936767578125,-2.471478162716431e-14
530.0,3.4332275390625e-05,-40885208974.96292,32405217325.23855,52169899586.08632,-0.001495361328125,-2.866329703505447e-14
540.0,0.0001201629638671875,-40885208974.962494,32405217325.238586,52169899586.086006,-0.00180816650390625,-3.4659190802591365e-14
550.0,2.288818359375e-05,-40885208974.96242,32405217325.2388,52169899586.08608,-0.00173187255859375,-3.319677768855798e-14
560.0,-0.000244140625,-40885208974.961555,32405217325.238846,52169899586.085434,-0.00238037109375,-4.56272891578418e-14
570.0,-0.0003814697265625,-40885208974.96175,32405217325.23921,52169899586.0858,-0.00201416015625,-3.860770621048152e-14
580.0,-0.00032806396484375,-40885208974.9617,32405217325.23938,52169899586.08588,-0.0019378662109375,-3.7145293096448135e-14
590.0,-0.000335693359375,-40885208974.9616,32405217325.239395,52169899586.08581,-0.00200653076171875,-3.8461464899078187e-14
600.0,-0.000102996826171875,-40885208974.9617,32405217325.23939,52169899586.085884,-0.00193023681640625,-3.6999051785044794e-14
610.0,0.000164031982421875,-40885208974.961655,32405217325.239166,52169899586.08571,-0.002105712890625,-4.0362601947321594e-14
620.0,-8.58306884765625e-05,-40885208974.96098,32405217325.23881,52169899586.08496,-0.0028533935546875,-5.4694250464848825e-14
630.0,-2.09808349609375e-05,-40885208974.96116,32405217325.238728,52169899586.085045,-0.00276947021484375,-5.30855960394121e-14
640.0,0.000209808349609375,-40885208974.96117,32405217325.23855,52169899586.084946,-0.00286865234375,-5.4986733087655506e-14
650.0,0.0001506805419921875,-40885208974.96131,32405217325.238426,52169899586.08498,-0.002838134765625,-5.440176784204215e-14
660.0,-9.1552734375e-05,-40885208974.96123,32405217325.238815,52169899586.08515,-0.00266265869140625,-5.103821767976535e-14
670.0,0.0001087188720703125,-40885208974.96138,32405217325.2385,52169899586.085075,-0.00273895263671875,-5.2500630793798736e-14
680.0,0.00025177001953125,-40885208974.96118,32405217325.238213,52169899586.08474,-0.00307464599609375,-5.893524849554566e-14
690.0,0.000225067138671875,-40885208974.96054,32405217325.238075,52169899586.08415,-0.003662109375,-7.019582947360277e-14
