time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
1620.0,-0.0009565353393554688,-40883130578.459,32403570008.469837,52167247533.19016,-2652052.8976516724,-5.083492432787617e-05
1630.0,-0.0009431838989257812,-40883117750.17522,32403559840.897324,52167231164.18299,-2668421.904823303,-5.114868776812622e-05
1640.0,-0.0009441375732421875,-40883104922.517975,32403549673.821396,52167214795.9753,-2684790.112510681,-5.146243588374926e-05
1650.0,-0.0009307861328125,-40883092099.72551,32403539510.601307,52167198433.97514,-2701152.1126708984,-5.1776065012615375e-05
1660.0,-0.0009546279907226562,-40883079267.54129,32403529339.9374,52167182059.99101,-2717526.096801758,-5.208992385192251e-05
1670.0,-0.0009641647338867188,-40883066441.27189,32403519173.961662,52167165693.55434,-2733892.533477783,-5.2403638020549925e-05
1680.0,-0.0009593963623046875,-40883053615.91372,32403509008.70808,52167149328.28035,-2750257.8074645996,-5.271732990258645e-05
1690.0,-0.00098419189453125,-40883040786.62161,32403498840.33648,52167132957.98662,-2766628.101196289,-5.303111800380133e-05
1700.0,-0.0010089874267578125,-40883027961.03131,32403488674.898907,52167116592.41643,-2782993.6713867188,-5.334481556351053e-05
1710.0,-0.000988006591796875,-40883015137.052,32403478510.738197,52167100228.901886,-2799357.1859283447,-5.3658473720253265e-05
1720.0,-0.0009918212890625,-40883002302.70314,32403468338.358646,52167083852.15568,-2815733.9321365356,-5.397238550344861e-05
1730.0,-0.0010042190551757812,-40882989464.00815,32403458162.534374,52167067469.863754,-2832116.2240600586,-5.428640358769832e-05
1740.0,-0.00096893310546875,-40882976638.614395,32403447997.252457,52167051104.54428,-2848481.543533325,-5.460009634162554e-05
1750.0,-0.0009860992431640625,-40882963813.58447,32403437832.258945,52167034739.68909,-2864846.398727417,-5.4913780196184e-05
1760.0,-0.0009975433349609375,-40882950988.44595,32403427667.179546,52167018374.69543,-2881211.39238739,-5.5227466704876024e-05
1770.0,-0.00103759765625,-40882938157.16641,32403417497.2328,52167002001.86576,-2897584.222053528,-5.55413034152404e-05
1780.0,-0.00104522705078125,-40882925328.446915,32403407329.315018,52166985632.302666,-2913953.7851486206,-5.585507751150985e-05
1790.0,-0.00103759765625,-40882912502.16496,32403397163.32921,52166969265.8499,-2930320.237915039,-5.61687919885602e-05
1800.0,-0.00103759765625,-40882899675.66072,32403386997.16716,52166952899.11345,-2946686.9743652344,-5.648251190330122e-05
1810.0,-0.00098419189453125,-40882886850.317276,32403376831.92508,52166936533.858154,-2963052.229660034,-5.679620342704653e-05
1820.0,-0.00102996826171875,-40882874020.095245,32403366662.816444,52166920162.37783,-2979423.7099838257,-5.711001427302633e-05
1830.0,-0.0010204315185546875,-40882861184.65324,32403356489.570503,52166903784.23678,-2995801.851036072,-5.742395279278944e-05
1840.0,-0.0009784698486328125,-40882848353.69933,32403346319.881752,52166887411.822556,-3012174.265258789,-5.773778153987568e-05
1850.0,-0.00093841552734375,-40882835523.4137,32403336150.72262,52166871040.26102,-3028545.8267974854,-5.805159394259424e-05
