time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
350.0,6311147.9836673075,1618905.3630358088,2042550.229306805,-2916.3663120608094,4386.507230334651,5534.394754474491
360.0,6281589.831035704,1662668.1713057626,2097765.151752476,-2995.202532317771,4365.963099443534,5508.474512179493
370.0,6251245.183088028,1706222.8028618447,2152717.420553059,-3073.663734017197,4344.872321983393,5481.864573562274
380.0,6220117.839168724,1749563.8043849673,2207400.155332215,-3151.7400933136582,4323.237538654756,5454.568270357715
390.0,6188211.69662079,1792685.7493038927,2261806.5094609945,-3229.421834546461,4301.0614582711705,5426.589020237944
400.0,6155530.750297805,1835583.2384746736,2315929.6709150756,-3306.699231463622,4278.34685742005,5397.930326384421
410.0,6122079.092063748,1878250.9008566616,2369762.863127675,-3383.5626084396563,4255.096580115018,5368.595777049316
420.0,6087860.910280668,1920683.394184995,2423299.345838017,-3460.0023416870313,4231.313537439825,5338.589045106237
430.0,6052880.489284279,1962875.4056394852,2476532.4159352574,-3536.0088604611233,4207.000707183863,5307.9138875903645
440.0,6017142.208847527,2004821.6525098158,2529455.4082977567,-3611.5726482585364,4182.1611334693225,5276.574145228046
450.0,5980650.543632223,2046516.8828569711,2582061.6966275945,-3686.6842440086316,4156.797926370053,5244.573741955911
460.0,5943410.062628779,2087955.876170814,2634344.694280226,-3761.3342432581117,4130.914261522159,5211.916684429568
470.0,5905425.4285841435,2129133.444023726,2686297.85508917,-3835.5132993485195,4104.513379726393,5178.6070615219505
480.0,5866701.397417998,2170044.4307202315,2737914.674185634,-3909.2121245865,4077.598586542386,5144.64904381136
490.0,5827242.817627283,2210683.7139425254,2789188.688812964,-3982.421491406679,4050.173251874765,5110.046883059283
500.0,5787054.629679134,2251046.2053918187,2840113.4791358216,-4055.132233527012,4022.240809551227,5074.804911678044
510.0,5746141.865392309,2291126.8514254265,2890682.6690439903,-4127.335247096464,3993.8047568925963,5038.92754218836
520.0,5704509.647307164,2330920.633689517,2940889.9269507052,-4199.0214918348665,3964.868654274941,5002.419266666866
530.0,5662163.188044286,2370422.569747441,2990728.966585408,-4270.181992164824,3935.436124683789,4965.284656183672
540.0,5619107.789651836,2409627.7137035644,3040193.547780828,-4340.807838335508,3905.510853260507,4927.528360230045
550.0,5575348.842941698,2448531.1568225273,3089277.477254292,-4410.890187538217,3875.096586840898,4889.155106136256
560.0,5530891.826814514,2487128.0281438483,3137974.609383161,-4480.420265013555,3844.1971334860737,4850.169698479691
570.0,5485742.307573694,2525413.4950918006,3186278.8469743044,-4549.389365150084,3812.81636200566,4810.5770184832845
580.0,5439905.938228478,2563382.7640804807,3234184.1420275057,-4617.7888525743265,3780.9582014733974,4770.382023404362
590.0,5393388.45778614,2601031.0811139964,3281684.496492711,-4685.610163231964,3748.626640735197,4729.58974591396
600.0,5346195.690533432,2638353.7323816977,3328773.9630210237,-4752.844805460119,3715.8257279097093,4688.205293466698
610.0,5298333.545307343,2675346.044848376,3375446.645709351,-4819.484361050557,3682.5595698814755,4646.2338476613
620.0,5249808.014755274,2712003.3868393577,3421696.700838609,-4885.520486303708,3648.8323317867184,4603.68066359182
630.0,5200625.174584724,2748321.1686204206,3467518.3376053926,-4950.944913073346,3614.648236491841,4560.551069189672
640.0,5150791.182802568,2784294.8429724574,3512905.818847022,-5015.749449801815,3580.0115640646973,4516.850464556538
650.0,5100312.27894404,2819919.905760816,3557853.461759872,-5079.9259825456675,3544.9266512386985,4472.584321288244
660.0,5049194.783291496,2855191.896499247,3602355.6386108953,-5143.466475991579,3509.3978908698277,4427.758181789675
670.0,4997445.096083084,2890106.398908385,3646406.777442252,-5206.3629744624195,3473.429731386626,4382.377658580838
680.0,4945069.696711383,2924659.0414686953,3690001.3627689523,-5268.60760291336,3437.02667623322,4336.4484335941315
690.0,4892075.1429121485,2958845.497967815,3733133.936269433,-5330.192567917876,3400.1932833054625,4289.976257462935
700.0,4838468.069943239,2992661.4880422237,3775799.0974689713,-5391.110158643532,3362.9341643802545,4242.9669488015925
710.0,4784255.189753841,3026102.7777131726,3817991.5044158627,-5451.352747817431,3325.2539845381216,4195.426393476884
720.0,4729443.290144087,3059165.1799168047,3859705.874350264,-5510.912792681199,3287.1574615791146,4147.360543871078
730.0,4674039.233915182,3091844.5550284027,3900936.9843656314,-5569.782835935381,3248.6493654321125,4098.7754181366545
740.0,4618049.958010136,3124136.8113806965,3941679.6720626596,-5627.955506673146,3209.734517557596,4049.6770994427934
750.0,4561482.472645215,3156037.9057761664,3981928.836195649,-5685.423521303174,3170.4177903439695,4000.0717352137235
760.0,4504343.860432215,3187543.8439932773,4021679.4373112144,-5742.179684461605,3130.704106497507,3949.965536359025
770.0,4446641.275491675,3218650.68128658,4060926.4983792547,-5798.216889912945,3090.598438425998,3899.364776495985
780.0,4388381.942557137,3249354.5228806194,4099665.105416112,-5853.528121439815,3050.1058076161708,3848.275791164099
790.0,4329573.156070559,3279651.524457586,4137890.408099832,-5908.1064537214215,3009.231284004968,3796.7049770318204
800.0,4270222.279269008,3309537.8926386475,4175597.6203774554,-5961.945053200658,2967.9799853447607,3744.6587910956596
810.0,4210336.743262732,3339009.885458905,4212782.021064263,-6015.037178939702,2926.357076562571,3692.143749871723
820.0,4149924.046104741,3368063.8128359113,4249438.954434899,-6067.376183464032,2884.3677691133908,3639.166428579805
830.0,4088991.751851999,3396696.0370316934,4285563.830806294,-6118.955513594726,2842.0173203276745,3585.73346032013
840.0,4027547.4896183596,3424902.9731082185,4321152.12711233,-6169.768711268966,2799.311032753087,3531.8515352428412
850.0,3965598.9526193487,3452681.089376253,4356199.3874701485,-6219.8094143486305,2756.2542534905915,3477.527399710357
860.0,3903153.897208926,3480026.9078375525,4390701.223738062,-6269.07135741687,2712.852373524957,3422.767855452678
870.0,3840220.1419083397,3506937.0046203285,4424653.316064976,-6317.548372562582,2669.1108270497734,3367.5797587157695
880.0,3776805.5664271973,3533408.0104079405,4458051.41343126,-6365.234390152669,2625.0350907870557,3311.9700194031147
890.0,3712918.1106768763,3559436.6108607547,4490891.334181003,-6412.123439592,2580.630683301523,3255.945600210551
900.0,3648565.7737763943,3585019.5470311213,4523168.966545587,-6458.209650070962,2535.903164309638,3199.5135157544955
910.0,3583756.613050871,3610153.615771416,4554880.269158504,-6503.4872513005275,2490.8581339834977,3142.6808316936704
920.0,3518498.7430226966,3634835.670135094,4586021.271561359,-6547.950574234729,2445.501232249652,3085.454663844436
930.0,3452800.3343955437,3659062.6197707066,4616588.074701001,-6591.594051780463,2399.838138082951,3027.842177289847
940.0,3386669.613031341,3682831.4313088367,4646576.851417706,-6634.41221949452,2353.874568795502,2969.8505854825366
950.0,3320114.8589203455,3706139.1287418925,4675983.846924366,-6676.399716267776,2307.6162793208227,2911.4871493415462
960.0,3253144.4051444307,3728982.793796724,4704805.379276608,-6717.55128499643,2261.0690614932882,2852.759176343213
970.0,3185766.6368337343,3751359.5663000103,4733037.839833799,-6757.86177324023,2214.238743322957,2793.674019606225
980.0,3117989.9901167857,3773266.6445363704,4760677.693710872,-6797.326133867595,2167.1311882658647,2734.239076970966
990.0,3049822.9510642476,3794701.2855991563,4787721.480220914,-6835.939425687542,2119.7522944898833,2674.4617900732555
1000.0,2981274.054626406,3815660.8057338833,4814165.813308468,-6873.696814068359,2072.1079941362327,2614.349643412612
1010.0,2912351.883564541,3836142.580674252,4840007.381973489,-6910.593571542933,2024.2042525767374,2553.910163415141
1020.0,2843065.0673763077,3856144.0459707244,4865242.950685901,-6946.625078400653,1976.0470676669252,2493.1509174911835
1030.0,2773422.2812152696,3875662.6973116086,4889869.359790705,-6981.786823265836,1927.6424689950563,2432.0795130878228
1040.0,2703432.244804714,3894696.090836615,4913883.525903594,-7016.07440366257,1878.996517127181,2370.703596736387
1050.0,2633103.7213458843,3913241.843442843,4937282.442297004,-7049.483526565944,1830.1153028483172,2309.030853095053
1060.0,2562445.5164207737,3931297.6330831614,4960063.179276583,-7082.010008939552,1781.0049463998448,2247.0690039866763
1070.0,2491466.476889609,3948861.1990569434,4982222.884548002,-7113.649778259241,1731.6715967132134,2184.825807431973
1080.0,2420175.4897831664,3965930.342293121,5003758.783574086,-7144.398873023018,1682.121430640056,2122.3090566781616
1090.0,2348581.4811900593,3982502.925625521,5024668.179922198,-7174.25344324705,1632.3606521788076,2059.5265792232026
1100.0,2276693.4151391336,3998576.8740604552,5044948.455601854,-7203.209750947715,1582.3954916979253,1996.486235835743
