time_s,hx,hy,hz,h_mag,dH_abs,dH_rel
840.0,-0.0006675720214843,-40884130473.31634,32404362515.36829,52168523408.14871,-1376177.9390945435,-2.637877300920721e-05
850.0,-0.0006923675537109,-40884117632.11264,32404352337.55559,52168507022.65562,-1392563.4321899414,-2.669285245397132e-05
860.0,-0.0006580352783203,-40884104790.9008,32404342159.736603,52168490637.15224,-1408948.9355697632,-2.7006932095868722e-05
870.0,-0.0006618499755859,-40884091949.681305,32404331981.91139,52168474251.63899,-1425334.448814392,-2.7321011926856138e-05
880.0,-0.0005817413330078,-40884079108.45386,32404321804.079983,52168457866.11568,-1441719.9721298218,-2.7635091950882085e-05
890.0,-0.0005912780761718,-40884066267.21843,32404311626.242245,52168441480.58217,-1458105.5056381226,-2.7949172170286423e-05
900.0,-0.0006179809570312,-40884053425.97505,32404301448.3981,52168425095.03845,-1474491.0493545532,-2.8263252585361637e-05
910.0,-0.000579833984375,-40884040584.72337,32404291270.54747,52168408709.4842,-1490876.6036071777,-2.8577333202396102e-05
920.0,-0.0005607604980468,-40884027743.463806,32404281092.690624,52168392323.91991,-1507262.1679000854,-2.889141401188413e-05
930.0,-0.00048828125,-40884014902.19623,32404270914.82729,52168375938.34531,-1523647.7425003052,-2.9205495018944173e-05
940.0,-0.0004787445068359,-40884002060.920364,32404260736.95752,52168359552.76021,-1540033.3275985718,-2.951957622723226e-05
950.0,-0.0004940032958984,-40883989219.63634,32404250559.081142,52168343167.16461,-1556418.9231948853,-2.9833657636748393e-05
960.0,-0.0004444122314453,-40883976378.34387,32404240381.1982,52168326781.55833,-1572804.5294799805,-3.01477392511486e-05
970.0,-0.0004730224609375,-40883963537.04292,32404230203.308544,52168310395.94122,-1589190.1465835571,-3.0461821072918987e-05
980.0,-0.0005836486816406,-40883950695.73372,32404220025.41215,52168294010.31346,-1605575.774345398,-3.0775903098988484e-05
990.0,-0.0006484985351562,-40883937854.41563,32404209847.508785,52168277624.67441,-1621961.4133987427,-3.108998534149513e-05
1000.0,-0.0006694793701171,-40883925013.08887,32404199669.598606,52168261239.02432,-1638347.063484192,-3.14040677954667e-05
1010.0,-0.0007095336914062,-40883912171.7535,32404189491.68144,52168244853.36317,-1654732.7246398926,-3.171815046163443e-05
1020.0,-0.0007362365722656,-40883899330.40924,32404179313.75731,52168228467.6907,-1671118.3971099854,-3.203223334467801e-05
1030.0,-0.0007781982421875,-40883886489.05611,32404169135.826164,52168212082.00693,-1687504.0808792114,-3.2346316444304976e-05
1040.0,-0.000762939453125,-40883873647.69374,32404158957.887794,52168195696.31143,-1703889.776374817,-3.2660399768704836e-05
1050.0,-0.0007953643798828,-40883860806.322296,32404148779.94211,52168179310.60428,-1720275.4835281372,-3.297448331656143e-05
1060.0,-0.0007972717285156,-40883847964.94128,32404138601.98901,52168162924.88501,-1736661.202796936,-3.328856709664921e-05
1070.0,-0.0008354187011718,-40883835123.55075,32404128424.02833,52168146539.1536,-1753046.9342041016,-3.360265110940693e-05
1080.0,-0.0007753372192382,-40883822282.150566,32404118246.059944,52168130153.40981,-1769432.6779937744,-3.3916735359514294e-05
1090.0,-0.0008001327514648,-40883809440.740654,32404108068.083847,52168113767.653625,-1785818.4341812134,-3.423081984726379e-05
1100.0,-0.0008363723754882,-40883796599.3205,32404097890.099583,52168097381.88433,-1802204.2034759521,-3.4544904586255856e-05
1110.0,-0.0008411407470703,-40883783757.8899,32404087712.10721,52168080996.10181,-1818589.986000061,-3.4858989578830355e-05
1120.0,-0.0008163452148437,-40883770916.44889,32404077534.106518,52168064610.30598,-1834975.781829834,-3.517307482644971e-05
1130.0,-0.0008068084716796,-40883758074.99722,32404067356.097446,52168048224.496574,-1851361.5912322998,-3.548716033423235e-05
1140.0,-0.00079345703125,-40883745233.53437,32404057178.079464,52168031838.67288,-1867747.4149246216,-3.580124611592497e-05
1150.0,-0.0007781982421875,-40883732392.06014,32404047000.05247,52168015452.83467,-1884133.2531356812,-3.61153321759148e-05
1160.0,-0.0007686614990234,-40883719550.57427,32404036822.016155,52167999066.98155,-1900519.1062545776,-3.642941852166016e-05
1170.0,-0.0007743835449218,-40883706709.07637,32404026643.9704,52167982681.11314,-1916904.9746704102,-3.674350516061934e-05
1180.0,-0.0007257461547851,-40883693867.56578,32404016465.914597,52167966295.22853,-1933290.8592758179,-3.7057592109902586e-05
1190.0,-0.000716209411621,-40883681026.04213,32404006287.848423,52167949909.327255,-1949676.7605514526,-3.7371679378723104e-05
