time_s,energy_Jkg,dE_abs,dE_rel
1000.0,-29189913.41442693,-1831.6506896167994,-6.275337668446597e-05
1010.0,-29189931.72839139,-1849.9646540768445,-6.338082334602761e-05
1020.0,-29189950.041493956,-1868.2777566425502,-6.40082404786073e-05
1030.0,-29189968.37455851,-1886.6108211949468,-6.463634152001158e-05
1040.0,-29189986.698916145,-1904.9351788312197,-6.52641442576015e-05
1050.0,-29190005.023930367,-1923.260193053633,-6.589196949019969e-05
1060.0,-29190023.346594684,-1941.5828573703766,-6.651971421371583e-05
1070.0,-29190041.659595624,-1959.895858310163,-6.71471278645347e-05
1080.0,-29190059.99232285,-1978.228585537523,-6.777521734899463e-05
1090.0,-29190078.319027685,-1996.5552903711796,-6.840310050287921e-05
1100.0,-29190096.637988206,-2014.8742508925498,-6.90307183322951e-05
1110.0,-29190114.948123205,-2033.1843858920038,-6.965803379439587e-05
1120.0,-29190133.27755835,-2051.5138210356236,-7.028601049022629e-05
1130.0,-29190151.58981555,-2069.826078236103,-7.09133986601207e-05
1140.0,-29190169.908882663,-2088.1451453492045,-7.154102014142889e-05
1150.0,-29190188.241824947,-2106.478087633848,-7.21691169938716e-05
1160.0,-29190206.56887814,-2124.805140826851,-7.279701208274216e-05
1170.0,-29190224.887194272,-2143.1234569586813,-7.342460783501213e-05
1180.0,-29190243.197647683,-2161.433910369873,-7.405193420607705e-05
1190.0,-29190261.518303182,-2179.7545658685267,-7.467961010636232e-05
1200.0,-29190279.834259037,-2198.070521723479,-7.530712499422684e-05
1210.0,-29190298.14985872,-2216.386121407151,-7.593462767946419e-05
1220.0,-29190316.46865456,-2234.7049172483385,-7.656223986684494e-05
1230.0,-29190334.78121428,-2253.017476964742,-7.718963840110403e-05
1240.0,-29190353.114903983,-2271.3511666692793,-7.781776086057016e-05
1250.0,-29190371.440135814,-2289.6763985008,-7.844559354857804e-05
1260.0,-29190389.76512676,-2308.0013894475996,-7.907341798374068e-05
1270.0,-29190408.092220407,-2326.32848309353,-7.970131445855115e-05
1280.0,-29190426.411532402,-2344.647795088589,-8.032894432965213e-05
1290.0,-29190444.744638063,-2362.980900749564,-8.095704677945928e-05
1300.0,-29190463.07876347,-2381.3150261566043,-8.158518416633676e-05
1310.0,-29190481.403958615,-2399.640221301466,-8.221301559743919e-05
1320.0,-29190499.731760606,-2417.9680232927203,-8.284093634055648e-05
