time_s,a_m,e_,i_deg,Omega_deg,omega_deg,nu_deg
430.0,6827952.768827601,2.0041852112311e-05,51.599999999999135,360.0,193.7901616218049,193.7779364103232
440.0,6827948.483330234,2.0498719887531977e-05,51.5999999999992,360.0,194.11073401473587,194.09848335188448
450.0,6827944.199348068,2.095478465581725e-05,51.59999999999916,360.0,194.4311986902639,194.41913808249797
460.0,6827939.916546255,2.1410068254106295e-05,51.599999999999135,360.0,194.7515818784274,194.7398743753501
470.0,6827935.6326790545,2.1864795420011117e-05,51.599999999999106,360.0,195.07204876483846,195.06052704812
480.0,6827931.347450494,2.231898314476355e-05,51.599999999999,360.0,195.39261761109128,195.38107784257002
490.0,6827927.06335049,2.277235291372578e-05,51.59999999999904,360.0,195.71310527418586,195.7017099051219
500.0,6827922.77921782,2.3225013694204793e-05,51.599999999999014,360.0,196.0335984055102,196.02233658787497
510.0,6827918.495260132,2.367692938054778e-05,51.599999999999014,360.0,196.35408155678377,196.34297334266117
520.0,6827914.210485744,2.4128190461069567e-05,51.599999999999014,360.0,196.67462718607646,196.66354771502643
530.0,6827909.923556985,2.457892376891526e-05,51.59999999999916,360.0,196.99532859244508,196.98396640959274
540.0,6827905.639679518,2.502856702508737e-05,51.599999999999135,360.0,197.31580482795476,197.30461037803724
550.0,6827901.3546681,2.5477546323620922e-05,51.599999999999106,360.0,197.6363661521636,197.62516936460696
560.0,6827897.069905519,2.5925702348700842e-05,51.599999999999085,360.0,197.95691005663548,197.94574588160518
570.0,6827892.783408184,2.6373228867140798e-05,51.59999999999905,360.0,198.27757981117426,198.26619666315742
580.0,6827888.498558891,2.6819757995574624e-05,51.599999999999,360.0,198.59812699154568,198.5867701374868
590.0,6827884.212978109,2.7265524181955824e-05,51.59999999999907,360.0,198.9187283663627,198.9072895400323
600.0,6827879.929625193,2.771020538820855e-05,51.59999999999903,360.0,199.23916691182112,199.22797189870855
610.0,6827875.645323396,2.8154118117114507e-05,51.599999999999014,360.0,199.55967861819747,199.54858122741018
620.0,6827871.36133468,2.859711731724519e-05,51.59999999999895,360.0,199.88017014955085,199.86921086630804
630.0,6827867.078661221,2.9039085785719668e-05,51.59999999999896,360.0,200.20056752411188,200.18993480145963
640.0,6827862.792501361,2.9480505547126564e-05,51.599999999999135,360.0,200.52122431044032,200.5103994686524
650.0,6827858.509970599,2.9920628973230485e-05,51.59999999999922,360.0,200.84161373339907,200.83113164742733
660.0,6827854.22501418,3.036006572034794e-05,51.59999999999914,360.0,201.16218460324254,201.1516825319912
670.0,6827849.940221356,3.079853567667561e-05,51.59999999999914,360.0,201.4827436095169,201.4722454373156
680.0,6827845.65406334,3.1236181568870376e-05,51.59999999999912,360.0,201.8034031683679,201.79270795182836
690.0,6827841.365966964,3.1673048331520216e-05,51.599999999999156,360.0,202.12420061509906,202.11303274485513
700.0,6827837.079333455,3.2108774866778677e-05,51.59999999999928,360.0,202.44488513509305,202.4334706356965
710.0,6827832.794517828,3.254331150552822e-05,51.599999999999284,360.0,202.76543497496343,202.75404338247697
720.0,6827828.50651841,3.297715305876525e-05,51.59999999999929,360.0,203.08621728740678,203.07438383729206
730.0,6827824.218523619,3.34099622126513e-05,51.59999999999923,360.0,203.40699384970367,203.39473022770477
740.0,6827819.93051283,3.384172756400356e-05,51.599999999999234,360.0,203.72776614084836,203.715081079618
750.0,6827815.642682434,3.4272415655184106e-05,51.59999999999923,360.0,204.04852056463835,204.03544999418315
760.0,6827811.360029316,3.470151086676805e-05,51.59999999999922,360.0,204.36889179630086,204.35620230117277
770.0,6827807.075186042,3.512973988789198e-05,51.59999999999928,360.0,204.68942778413629,204.67679005733658
780.0,6827802.789793044,3.55569245275804e-05,51.599999999999255,360.0,205.01000505583494,204.99733674008476
790.0,6827798.505899936,3.598284669090709e-05,51.59999999999919,360.0,205.3304729505747,205.31799301538896
800.0,6827794.218063171,3.6408035337816184e-05,51.5999999999992,360.0,205.65123176774907,205.63835858905364
810.0,6827789.935417311,3.683156950862359e-05,51.59999999999914,360.0,205.97160602943774,205.95910894424503
820.0,6827785.649948689,3.725423051457516e-05,51.59999999999912,360.0,206.2921915120799,206.27964830981782
830.0,6827781.366115011,3.7675564113745355e-05,51.599999999999056,360.0,206.61265750267853,206.6003074041081
840.0,6827777.083247034,3.809562379672565e-05,51.59999999999907,360.0,206.9330545813645,206.92103565237107
850.0,6827772.798473432,3.851467831085254e-05,51.59999999999907,360.0,207.25359545089543,207.2416203572804
860.0,6827768.510702719,3.893282097756999e-05,51.599999999999156,360.0,207.5743567065611,207.561984929022
870.0,6827764.227574711,3.9349291890094843e-05,51.599999999999085,360.0,207.8947739417663,207.88269377971048
880.0,6827759.944758061,3.976450130463374e-05,51.599999999999135,360.0,208.21517100797513,208.20342306344466
890.0,6827755.659177914,4.01787344684524e-05,51.59999999999908,360.0,208.53577460005974,208.52394609095793
900.0,6827751.375921771,4.059148541316373e-05,51.599999999999156,360.0,208.85620693048554,208.84464065543193
910.0,6827747.091152837,4.1003111876455996e-05,51.59999999999912,360.0,209.1767534690018,209.16522129280554
920.0,6827742.803483925,4.141373408286959e-05,51.59999999999905,360.0,209.4975134283189,209.48558879609703
930.0,6827738.520668311,4.182259497588312e-05,51.599999999999085,360.0,209.81791317761144,209.80631680190038
940.0,6827734.235230713,4.223039760701566e-05,51.59999999999905,360.0,210.13850895812024,210.12684907478186
950.0,6827729.951163429,4.263674775187338e-05,51.599999999999056,360.0,210.45900439557002,210.4474819948628
960.0,6827725.668150271,4.304166342768137e-05,51.59999999999908,360.0,210.7794239206331,210.7681911373535
970.0,6827721.385516577,4.3445196438936035e-05,51.5999999999989,360.0,211.0998178569982,211.08892618448496
980.0,6827717.101440236,4.3847505943410514e-05,51.599999999999056,360.0,211.4203211186982,211.40955222818073
990.0,6827712.817403052,4.424843951581243e-05,51.599999999999085,360.0,211.74082283053937,211.7301801496252
