time_s,a_m,e_,i_deg,Omega_deg,omega_deg,nu_deg
0.0,6828137.0,0.0,51.60000000000001,180.0,0.0,180.0
10.0,6828137.0,1.284152936200774e-16,51.600000000000016,180.0,0.0,180.64111831095164
20.0,6828137.0,1.302019855375758e-16,51.600000000000016,180.0,0.0,181.28223662190294
30.0,6828137.000000004,2.5713288835057056e-16,51.60000000000001,180.0,0.0,181.92335493285438
40.0,6828137.000000002,1.1258293924198522e-17,51.600000000000016,180.0,0.0,182.56447324380574
50.0,6828137.000000002,1.27655451888605e-16,51.600000000000016,180.0,0.0,176.7944084452429
60.0,6828137.000000004,2.5534609899802877e-16,51.600000000000016,180.0,0.0,176.15329013429132
70.0,6828137.000000002,1.2820562414866051e-16,51.60000000000001,180.0,0.0,184.48782817665992
80.0,6828137.000000002,1.277794492816452e-16,51.60000000000001,180.0,0.0,185.12894648761142
90.0,6828137.0,1.0074423815999083e-17,51.60000000000001,180.0,0.0,174.2299352014372
100.0,6828137.0,2.949056922685433e-17,51.60000000000001,180.0,0.0,173.58881689048573
110.0,6828137.0,2.2792095354233896e-18,51.599999999999994,180.0,0.0,187.05230142046565
120.0,6828137.0,1.329406068085675e-16,51.599999999999994,180.0,0.0,187.69341973141718
130.0,6828137.0,1.300744015118274e-16,51.599999999999994,180.0,0.0,188.3345380423686
140.0,6828136.999999998,2.616619630766871e-16,51.599999999999994,180.0,0.0,188.97565635331998
150.0,6828136.999999998,2.70675324109429e-16,51.599999999999994,180.0,0.0,189.6167746642714
160.0,6828136.999999998,2.703131253234517e-16,51.599999999999994,180.0,0.0,190.25789297522283
170.0,6828136.999999996,3.887756362744787e-16,51.599999999999994,180.0,0.0,190.89901128617421
180.0,6828136.999999996,3.970713190712254e-16,51.599999999999994,180.0,0.0,191.54012959712568
190.0,6828136.999999996,3.898401592648233e-16,51.599999999999994,180.0,0.0,192.18124790807707
200.0,6828136.999999996,3.898841028503315e-16,51.599999999999994,180.0,0.0,192.82236621902854
210.0,6828136.999999996,3.878316547945155e-16,51.599999999999994,180.0,0.0,193.46348452997995
220.0,6828136.999999996,3.9541856593924485e-16,51.599999999999994,180.0,0.0,194.10460284093136
230.0,6828136.999999996,4.109389280530811e-16,51.599999999999994,180.0,0.0,194.74572115188278
240.0,6828136.999999998,2.914615879702785e-16,51.599999999999994,180.0,0.0,195.38683946283425
250.0,6828137.0,7.93026986977086e-17,51.599999999999994,180.0,0.0,196.02795777378566
260.0,6828137.0,8.154181801956658e-17,51.60000000000001,180.0,0.0,196.6690760847371
270.0,6828137.000000002,1.4156493359881715e-16,51.60000000000001,180.0,0.0,197.31019439568854
280.0,6828137.000000002,1.6517088391676805e-16,51.60000000000001,180.0,0.0,197.95131270663992
290.0,6828137.0,1.7868126809529194e-16,51.60000000000001,180.0,0.0,198.59243101759137
300.0,6828137.000000002,1.5073940943311634e-16,51.60000000000001,180.0,0.0,199.23354932854278
310.0,6828137.000000002,1.47998338364785e-16,51.60000000000001,180.0,0.0,199.87466763949425
320.0,6828137.0,1.90431722610599e-16,51.60000000000001,180.0,0.0,200.51578595044566
330.0,6828136.999999998,1.6978676050621797e-16,51.60000000000001,180.0,0.0,201.15690426139707
340.0,6828136.999999998,1.957517209321075e-16,51.60000000000001,180.0,0.0,201.7980225723485
350.0,6828137.000000002,1.7154262948900205e-16,51.60000000000001,180.0,0.0,202.43914088329996
360.0,6828137.0,1.1953092848778276e-16,51.60000000000001,180.0,0.0,203.08025919425134
370.0,6828136.999999998,1.709314028877812e-16,51.599999999999994,180.0,0.0,203.72137750520278
380.0,6828136.999999998,2.0198488179835128e-16,51.599999999999994,180.0,0.0,204.3624958161542
390.0,6828136.999999998,2.5424506248962075e-16,51.60000000000001,180.0,0.0,205.00361412710564
400.0,6828136.999999998,2.4636576718619894e-16,51.60000000000001,180.0,0.0,205.64473243805705
410.0,6828136.999999998,2.975482395187216e-16,51.60000000000001,180.0,0.0,206.2858507490085
420.0,6828136.999999998,2.7582042925669003e-16,51.599999999999994,180.0,0.0,206.92696905995993
430.0,6828137.0,2.0453786410903508e-16,51.60000000000001,180.0,0.0,207.56808737091134
440.0,6828137.000000002,3.139325131230673e-16,51.59999999999999,180.0,0.0,208.20920568186276
450.0,6828137.000000002,3.270348738761634e-16,51.60000000000001,180.0,0.0,208.8503239928142
460.0,6828137.000000002,3.4197135739130913e-16,51.60000000000001,180.0,0.0,209.4914423037656
470.0,6828137.000000002,2.887338168930819e-16,51.60000000000001,180.0,0.0,210.13256061471705
480.0,6828137.000000004,4.356810375938912e-16,51.60000000000001,180.0,0.0,210.7736789256685
