time_s,x_num_m,y_num_m,z_num_m,x_ana_m,y_ana_m,z_ana_m,error_m,rel_error
200.0,6657862.350697913,941264.1153988384,-1187579.7552124362,6657862.350697933,941264.1153988413,-1187579.7552124402,2.0165405458801083e-08,2.9532807351113607e-15
210.0,6640489.561143509,987479.1032600738,-1245888.558314035,6640489.561143505,987479.1032600731,-1245888.5583140345,3.818706485176628e-09,5.59260378808543e-16
220.0,6622285.339726193,1033570.4524071977,-1304041.3681811772,6622285.339726157,1033570.4524071922,-1304041.3681811704,3.734682633532779e-08,5.469548477912466e-15
230.0,6603251.9657311095,1079532.3919078098,-1362030.9037092554,6603251.965731109,1079532.3919078095,-1362030.903709255,1.0669640486491471e-09,1.5625990642090912e-16
240.0,6583391.822258801,1125359.1670324535,-1419849.904236689,6583391.822258803,1125359.167032454,-1419849.9042366894,1.9756335239481576e-09,2.8933712430611125e-16
250.0,6562707.395926512,1171045.0399750988,-1477491.1304539486,6562707.395926518,1171045.0399751002,-1477491.13045395,6.812037359144442e-09,9.97642162004723e-16
260.0,6541201.276557014,1216584.2905715755,-1534947.3653099926,6541201.276557032,1216584.2905715795,-1534947.365309997,1.8664248123607674e-08,2.733431992300048e-15
270.0,6518876.156854362,1261971.2170157814,-1592211.4149158953,6518876.156854358,1261971.217015781,-1592211.4149158937,4.9555200743006456e-09,7.257499482363411e-16
280.0,6495734.8320666365,1307200.136573561,-1649276.1094455395,6495734.832066599,1307200.1365735542,-1649276.1094455302,3.8988532364444054e-08,5.709980974963457e-15
290.0,6471780.199635974,1352265.3862942238,-1706134.3040333302,6471780.199635973,1352265.3862942236,-1706134.3040333297,1.0669640486491471e-09,1.5625990642090912e-16
300.0,6447015.258836022,1397161.323719626,-1762778.879668831,6447015.2588360235,1397161.3237196268,-1762778.8796688311,2.0028849288454807e-09,2.933281697255753e-16
310.0,6421443.110396092,1441882.3275905836,-1819202.744088035,6421443.110396098,1441882.3275905852,-1819202.7440880367,6.914717333818552e-09,1.0126799350713895e-15
320.0,6395066.956113097,1486422.7985507199,-1875398.832661402,6395066.956113115,1486422.798550724,-1875398.832661407,1.889230941897332e-08,2.7668322148447404e-15
330.0,6367890.098450685,1530777.1598475466,-1931360.109278401,6367890.09845068,1530777.159847545,-1931360.109278399,5.273498433132714e-09,7.723187793585152e-16
340.0,6339915.940125629,1574939.8580306831,-1987079.567228444,6339915.940125593,1574939.8580306743,-1987079.5672284327,3.901841476282891e-08,5.714357336829784e-15
350.0,6311147.98368181,1618905.3636471871,-2042550.2300781747,6311147.983681809,1618905.3636471871,-2042550.2300781743,1.041250292910165e-09,1.5249405407509618e-16
360.0,6281589.831051895,1662668.1719339322,-2097765.1525450316,6281589.831051896,1662668.1719339327,-2097765.152545032,1.1406325468715177e-09,1.6704886660468555e-16
370.0,6251245.183106046,1706222.803506764,-2152717.421366747,6251245.183106052,1706222.8035067655,-2152717.421366749,6.111527210290864e-09,8.950504669561937e-16
380.0,6220117.839188709,1749563.8050465945,-2207400.1561669833,6220117.839188726,1749563.8050465991,-2207400.1561669894,1.8421598193098308e-08,2.6978952228255392e-15
390.0,6188211.696642929,1792685.7499821982,-2261806.5103168054,6188211.696642924,1792685.7499821964,-2261806.5103168036,5.350040874013704e-09,7.835286365832589e-16
400.0,6155530.750322267,1835583.2391696228,-2315929.671791885,6155530.750322232,1835583.2391696125,-2315929.671791873,3.8781506593631604e-08,5.6796614645593086e-15
410.0,6122079.092090637,1878250.9015681995,-2369762.864025415,6122079.0920906365,1878250.901568199,-2369762.864025415,1.041250292910165e-09,1.5249405407509618e-16
420.0,6087860.910310193,1920683.3949130967,-2423299.3467566553,6087860.910310194,1920683.394913097,-2423299.346756656,1.337510218503426e-09,1.9588215914581473e-16
430.0,6052880.489316619,1962875.4063841177,-2476532.4168747533,6052880.489316624,1962875.4063841195,-2476532.4168747556,5.529421422182544e-09,8.097994258437615e-16
440.0,6017142.208882867,2004821.6532709466,-2529455.4092580685,6017142.208882884,2004821.653270952,-2529455.4092580755,1.893387040022013e-08,2.7729189382433494e-15
450.0,5980650.543670792,2046516.8836345836,-2582061.6976087005,5980650.5436707875,2046516.8836345817,-2582061.6976086986,5.350040874013704e-09,7.835286365832589e-16
460.0,5943410.06267079,2087955.8769648853,-2634344.6952820974,5943410.062670756,2087955.8769648732,-2634344.6952820825,3.8635858358240763e-08,5.6583308680304396e-15
470.0,5905425.428629747,2129133.4448342114,-2686297.856111752,5905425.428629746,2129133.444834211,-2686297.8561117514,1.1406325468715177e-09,1.6704886660468555e-16
480.0,5866701.397467445,2170044.431547122,-2737914.675228914,5866701.397467446,2170044.431547122,-2737914.675228914,9.313225746154785e-10,1.3639482843057755e-16
490.0,5827242.817680798,2210683.7147858026,-2789188.6898769187,5827242.817680802,2210683.714785805,-2789188.6898769215,5.908579351589792e-09,8.65328178328846e-16
500.0,5787054.629736947,2251046.206251466,-2840113.4802204305,5787054.629736962,2251046.2062514722,-2840113.480220438,1.7725738054769374e-08,2.595984534986538e-15
510.0,5746141.8654546905,2291126.852301446,-2890682.670149256,5746141.865454686,2291126.8523014444,-2890682.670149253,5.607304432798315e-09,8.21205613302474e-16
520.0,5704509.647374374,2330920.634581905,-2940889.9280766225,5704509.647374341,2330920.634581892,-2940889.928076606,3.890432151817795e-08,5.697648058054189e-15
530.0,5662163.188116522,2370422.5706561697,-2990728.9677319424,5662163.18811652,2370422.570656169,-2990728.967731942,1.9756335239481576e-09,2.8933712430611125e-16
540.0,5619107.789729389,2409627.714628646,-3040193.5489479955,5619107.78972939,2409627.7146286466,-3040193.548947996,1.1406325468715177e-09,1.6704886660468555e-16
550.0,5575348.84302484,2448531.1577639664,-3089277.478442097,5575348.843024843,2448531.1577639687,-3089277.4784421,5.206251464550825e-09,7.624702703754809e-16
560.0,5530891.826903516,2487128.029101651,-3137974.6105916123,5530891.82690353,2487128.0291016577,-3137974.61059162,1.7329858677395056e-08,2.5380068790938226e-15
570.0,5485742.307668872,2525413.4960659943,-3186278.8482034355,5485742.307668867,2525413.4960659924,-3186278.848203433,6.333678266375998e-09,9.275851182212656e-16
580.0,5439905.9383301325,2563382.765071087,-3234184.1432773443,5439905.938330101,2563382.765071072,-3234184.1432773257,3.9644160594405164e-08,5.805999585890729e-15
590.0,5393388.457894513,2601031.0821210123,-3281684.4977632537,5393388.457894512,2601031.0821210113,-3281684.4977632524,1.9199706733309015e-09,2.81185142203635e-16
600.0,5346195.69064886,2638353.7334051644,-3328773.9643123224,5346195.690648861,2638353.7334051644,-3328773.9643123224,9.313225746154785e-10,1.3639482843057755e-16
610.0,5298333.545430138,2675346.0458883266,-3375446.647021448,5298333.5454301415,2675346.0458883285,-3375446.6470214506,5.015325552909173e-09,7.345086299394949e-16
620.0,5249808.014885749,2712003.3878958286,-3421696.702171549,5249808.014885764,2712003.3878958356,-3421696.7021715585,1.890951814525477e-08,2.7693524815414175e-15
630.0,5200625.174723234,2748321.1696934714,-3467518.338959251,5200625.174723229,2748321.1696934686,-3467518.338959248,6.333678266375998e-09,9.275851182212656e-16
640.0,5150791.182949454,2784294.844062142,-3512905.820221868,5150791.182949425,2784294.8440621262,-3512905.820221848,3.853751595355679e-08,5.643928344372234e-15
650.0,5100312.2790995855,2819919.9068671633,-3557853.463155741,5100312.2790995855,2819919.9068671623,-3557853.4631557395,1.6789656483866224e-09,2.4588927380728044e-16
660.0,5049194.783456075,2855191.8976223343,-3602355.640027885,5049194.783456077,2855191.897622335,-3602355.640027886,2.1339280972982942e-09,3.1251981284181824e-16
670.0,4997445.096257046,2890106.400048281,-3646406.778880449,4997445.0962570505,2890106.4000482834,-3646406.778880452,5.908579351589792e-09,8.65328178328846e-16
680.0,4945069.696895079,2924659.042625473,-3690001.3642284493,4945069.696895093,2924659.042625481,-3690001.3642284586,1.856231263651955e-08,2.7185032515486362e-15
690.0,4892075.143105967,2958845.499141573,-3733133.937750354,4892075.143105964,2958845.49914157,-3733133.9377503498,5.759912019992704e-09,8.435554266109048e-16
700.0,4838468.070147555,2992661.489233057,-3775799.098971436,4838468.070147528,2992661.48923304,-3775799.0989714134,3.906284855916295e-08,5.7208647921333374e-15
710.0,4784255.189968976,3026102.7789211473,-3817991.5059399544,4784255.189968976,3026102.7789211464,-3817991.505939953,1.6789656483866224e-09,2.4588927380728044e-16
720.0,4729443.290370445,3059165.181142041,-3859705.8758961344,4729443.290370446,3059165.181142041,-3859705.8758961344,9.313225746154785e-10,1.3639482843057755e-16
730.0,4674039.234153144,3091844.556271012,-3900936.985933421,4674039.234153148,3091844.5562710147,-3900936.985933424,5.4304971311663284e-09,7.953116832843758e-16
740.0,4618049.958260084,3124136.8126407955,-3941679.6736525157,4618049.958260096,3124136.812640804,-3941679.673652526,1.7938539650531694e-08,2.627149931310941e-15
750.0,4561482.472907563,3156037.9070539004,-3981928.8378077545,4561482.47290756,3156037.907053897,-3981928.837807751,5.6841204016160695e-09,8.324555294681506e-16
760.0,4504343.860707366,3187543.8452887866,-4021679.4389457465,4504343.86070734,3187543.845288768,-4021679.438945723,3.961132898579675e-08,5.801191303835402e-15
770.0,4446641.27577998,3218650.682599976,-4060926.500036355,4446641.27577998,3218650.682599975,-4060926.5000363537,1.9756335239481576e-09,2.8933712430611125e-16
780.0,4388381.942859022,3249354.524212071,-4099665.107095993,4388381.942859024,3249354.5242120717,-4099665.1070959936,1.9756335239481576e-09,2.8933712430611125e-16
790.0,4329573.156386429,3279651.5258072545,-4137890.4098026967,4329573.156386433,3279651.5258072563,-4137890.4098027,5.288895541616039e-09,7.745737294984033e-16
800.0,4270222.279599265,3309537.894006699,-4175597.6221035137,4270222.279599276,3309537.894006707,-4175597.6221035244,1.7386073900940335e-08,2.5462397577758522e-15
810.0,4210336.743607811,3339009.886845536,-4212782.0228137635,4210336.743607807,3339009.886845533,-4212782.02281376,6.19522048889197e-09,9.073075846152427e-16
820.0,4149924.046465059,3368063.8142413152,-4249438.956208085,4149924.0464650346,3368063.814241296,-4249438.9562080605,3.92069106172617e-08,5.7419630885059426e-15
830.0,4088991.752227928,3396696.038456033,-4285563.832603372,4088991.7522279276,3396696.038456031,-4285563.832603369,3.390065342784169e-09,4.964846696520836e-16
840.0,4027547.490010338,3424902.9745517173,-4321152.128933581,4027547.490010339,3424902.9745517173,-4321152.128933581,9.313225746154785e-10,1.3639482843057755e-16
850.0,3965598.9530277937,3452681.0908391266,-4356199.3893158445,3965598.9530277974,3452681.090839129,-4356199.389315846,4.771608284655771e-09,6.988155458298173e-16
860.0,3903153.897634252,3480026.909320023,-4390701.225608483,3903153.897634262,3480026.909320032,-4390701.225608494,1.779289280487485e-08,2.6058195383125515e-15
870.0,3840220.142350986,3506937.00612265,-4424653.317960443,3840220.1423509833,3506937.0061226473,-4424653.317960439,5.4304971311663284e-09,7.953116832843758e-16
880.0,3776805.566887589,3533408.011930364,-4458051.415352089,3776805.5668875673,3533408.011930344,-4458051.415352063,3.9496203434914394e-08,5.7843308408888685e-15
890.0,3712918.111155393,3559436.6124035,-4490891.336127472,3712918.111155393,3559436.612403499,-4490891.33612747,2.08250058582033e-09,3.0498810815019237e-16
900.0,3648565.774273475,3585019.548594472,-4523168.968518054,3648565.774273476,3585019.548594472,-4523168.968518054,9.313225746154785e-10,1.3639482843057755e-16
910.0,3583756.6135669327,3610153.617355647,-4554880.271157315,3583756.613566936,3610153.61735565,-4554880.271157318,5.122274160385132e-09,7.501715563681765e-16
920.0,3518498.743558152,3634835.671740487,-4586021.273586871,3518498.7435581624,3634835.6717404965,-4586021.273586881,1.7223173760722325e-08,2.52238257093001e-15
930.0,3452800.3349508266,3659062.6213975796,-4616588.076753613,3452800.3349508233,3659062.6213975763,-4616588.076753608,6.552435122183658e-09,9.596226792437906e-16
940.0,3386669.6136068692,3682831.4329575016,-4646576.853497813,3386669.613606849,3682831.4329574807,-4646576.8534977855,4.025748883662929e-08,5.89582324382614e-15
950.0,3320114.859516493,3706139.13041263,-4675983.849032322,3320114.859516492,3706139.130412629,-4675983.849032319,3.0888475387873126e-09,4.52370469249125e-16
960.0,3253144.405761623,3728982.7954898817,-4704805.381412851,3253144.4057616238,3728982.7954898826,-4704805.381412851,1.3170890159654386e-09,1.928914162040742e-16
970.0,3185766.637472375,3751359.5680159274,-4733037.841998757,3185766.637472378,3751359.5680159302,-4733037.84199876,5.122274160385132e-09,7.501715563681765e-16
980.0,3117989.9907772713,3773266.646275393,-4760677.695904981,3117989.990777279,3773266.646275403,-4760677.695904993,1.72546201512673e-08,2.526987983877198e-15
990.0,3049822.9517469904,3794701.2873616666,-4787721.482444658,3049822.951746988,3794701.2873616638,-4787721.482444653,5.908579351589792e-09,8.65328178328846e-16
1000.0,2981274.055331803,3815660.8075202596,-4814165.815562324,2981274.055331785,3815660.8075202378,-4814165.815562295,4.031938413994893e-08,5.904887986276334e-15
1010.0,2912351.8842929457,3836142.582484839,-4840007.384257891,2912351.8842929453,3836142.582484838,-4840007.384257888,2.9816870751943665e-09,4.3667651589216304e-16
1020.0,2843065.0681281174,3856144.0478059365,-4865242.953001372,2843065.068128117,3856144.047805937,-4865242.953001372,6.585445079827193e-10,9.64457081020371e-17
1030.0,2773422.2819908587,3875662.6991718514,-4889869.362137757,2773422.28199086,3875662.6991718546,-4889869.362137761,5.14339703004214e-09,7.53265060446523e-16
1040.0,2703432.245604447,3894696.0927223014,-4913883.528282748,2703432.245604454,3894696.092722311,-4913883.52828276,1.70587180964781e-08,2.498297573185497e-15
1050.0,2633103.7221701373,3913241.845354423,-4937282.444708827,2633103.7221701355,3913241.845354419,-4937282.444708822,6.24750175746099e-09,9.149643244505771e-16
1060.0,2562445.5172699047,3931297.6350210807,-4960063.181721638,2562445.5172698884,3931297.6350210584,-4960063.181721609,3.9984553561933446e-08,5.855851099931569e-15
