time_s,energy_Jkg,dE_rel,h_mag_m2s
1420.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1430.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1440.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1450.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1460.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1470.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
1480.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1490.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
1500.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1510.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1520.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1530.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1540.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1550.0,-29188081.741769373,5.105221139806341e-16,52169899605.72024
1560.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1570.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1580.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1590.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
1600.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
1610.0,-29188081.74176937,6.381526424757926e-16,52169899605.72022
1620.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
1630.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
1640.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
1650.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
1660.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
1670.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
1680.0,-29188081.74176937,6.381526424757926e-16,52169899605.72023
1690.0,-29188081.74176937,6.381526424757926e-16,52169899605.72024
1700.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1710.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1720.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1730.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1740.0,-29188081.741769373,5.105221139806341e-16,52169899605.72022
1750.0,-29188081.741769366,7.657831709709511e-16,52169899605.72023
1760.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1770.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1780.0,-29188081.741769366,7.657831709709511e-16,52169899605.72024
1790.0,-29188081.741769373,5.105221139806341e-16,52169899605.72023
1800.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1810.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72022
1820.0,-29188081.74176939,0.0,52169899605.72022
1830.0,-29188081.74176938,2.5526105699031706e-16,52169899605.720215
1840.0,-29188081.74176939,0.0,52169899605.72022
1850.0,-29188081.74176939,0.0,52169899605.720215
1860.0,-29188081.74176938,2.5526105699031706e-16,52169899605.72021
1870.0,-29188081.74176939,0.0,52169899605.72022
1880.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
1890.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
1900.0,-29188081.74176939,0.0,52169899605.72021
1910.0,-29188081.74176939,0.0,52169899605.72021
1920.0,-29188081.74176939,0.0,52169899605.720215
1930.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
1940.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
1950.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
1960.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
1970.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
1980.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
1990.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72019
2000.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2010.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2020.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2030.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72019
2040.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2050.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72019
2060.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72021
2070.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2080.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72021
2090.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.72021
2100.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2110.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72019
2120.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72021
2130.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2140.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2150.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2160.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2170.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2180.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2190.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2200.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2210.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72019
2220.0,-29188081.741769403,-5.105221139806341e-16,52169899605.7202
2230.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2240.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2250.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2260.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2270.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2280.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2290.0,-29188081.741769396,-2.5526105699031706e-16,52169899605.720215
2300.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2310.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2320.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2330.0,-29188081.741769403,-5.105221139806341e-16,52169899605.7202
2340.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72019
2350.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2360.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2370.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2380.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2390.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2400.0,-29188081.74176941,-7.657831709709511e-16,52169899605.7202
2410.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2420.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2430.0,-29188081.74176941,-7.657831709709511e-16,52169899605.7202
2440.0,-29188081.741769403,-5.105221139806341e-16,52169899605.7202
2450.0,-29188081.741769403,-5.105221139806341e-16,52169899605.7202
2460.0,-29188081.741769403,-5.105221139806341e-16,52169899605.7202
2470.0,-29188081.741769403,-5.105221139806341e-16,52169899605.72021
2480.0,-29188081.74176941,-7.657831709709511e-16,52169899605.7202
2490.0,-29188081.74176941,-7.657831709709511e-16,52169899605.7202
2500.0,-29188081.741769403,-5.105221139806341e-16,52169899605.7202
2510.0,-29188081.74176941,-7.657831709709511e-16,52169899605.7202
2520.0,-29188081.74176941,-7.657831709709511e-16,52169899605.7202
2530.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.7202
2540.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2550.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2560.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2570.0,-29188081.74176941,-7.657831709709511e-16,52169899605.72019
2580.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2590.0,-29188081.741769418,-1.0210442279612682e-15,52169899605.72019
2600.0,-29188081.74176942,-1.1486747564564267e-15,52169899605.720184
2610.0,-29188081.74176942,-1.1486747564564267e-15,52169899605.72019
2620.0,-29188081.74176942,-1.1486747564564267e-15,52169899605.72019
2630.0,-29188081.741769414,-8.934136994661096e-16,52169899605.72019
2640.0,-29188081.741769414,-8.934136994661096e-16,52169899605.72019
2650.0,-29188081.741769414,-8.934136994661096e-16,52169899605.7202
2660.0,-29188081.741769414,-8.934136994661096e-16,52169899605.72019
2670.0,-29188081.741769407,-6.381526424757926e-16,52169899605.72019
2680.0,-29188081.741769407,-6.381526424757926e-16,52169899605.72019
2690.0,-29188081.741769407,-6.381526424757926e-16,52169899605.7202
2700.0,-29188081.741769407,-6.381526424757926e-16,52169899605.7202
2710.0,-29188081.741769407,-6.381526424757926e-16,52169899605.72021
2720.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2730.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.72021
2740.0,-29188081.7417694,-3.8289158548547556e-16,52169899605.720215
