time_s,r_error_norm_m,v_error_norm_ms,vx_error_ms,vy_error_ms,vz_error_ms,h_error_m2s,energy_error_Jkg
370.0,1.5618754393652476e-09,8.397448851892199e-12,-4.547473508864641e-13,-8.185452315956354e-12,1.8189894035458565e-12,2.288818359375e-05,-2.60770320892334e-08
380.0,1.9199706733309015e-09,8.248369862129518e-12,-4.547473508864641e-13,-8.185452315956354e-12,9.094947017729282e-13,2.288818359375e-05,-4.0978193283081055e-08
390.0,1.5618754393652476e-09,9.094947017729282e-12,0.0,-9.094947017729282e-12,0.0,4.57763671875e-05,-4.842877388000488e-08
400.0,2.3399190095069096e-09,8.397448851892199e-12,-4.547473508864641e-13,-8.185452315956354e-12,1.8189894035458565e-12,2.288818359375e-05,-1.862645149230957e-08
410.0,1.3969838619232178e-09,9.241558215263274e-12,-1.3642420526593924e-12,-9.094947017729282e-12,9.094947017729282e-13,3.0517578125e-05,-3.3527612686157227e-08
420.0,2.5076627764545864e-09,1.0137908616165057e-11,-1.3642420526593924e-12,-1.000444171950221e-11,9.094947017729282e-13,4.57763671875e-05,-4.842877388000488e-08
430.0,2.2812650937430355e-09,1.0097029785890535e-11,-1.3642420526593924e-12,-1.000444171950221e-11,0.0,4.57763671875e-05,-5.587935447692871e-08
440.0,2.4750236917134956e-09,8.434306887916777e-12,-9.094947017729282e-13,-8.185452315956354e-12,1.8189894035458565e-12,3.814697265625e-05,-3.3527612686157227e-08
450.0,2.550531912153429e-09,9.151613902530748e-12,-4.547473508864641e-13,-9.094947017729282e-12,9.094947017729282e-13,3.814697265625e-05,-4.0978193283081055e-08
460.0,3.123750878730495e-09,1.0951766470309208e-11,0.0,-1.0913936421275139e-11,9.094947017729282e-13,5.340576171875e-05,-5.587935447692871e-08
470.0,3.636930918277546e-09,1.0951766470309208e-11,0.0,-1.0913936421275139e-11,9.094947017729282e-13,6.103515625e-05,-6.332993507385254e-08
480.0,4.05954098658699e-09,1.2934344934663288e-11,-2.2737367544323206e-12,-1.2732925824820995e-11,0.0,6.103515625e-05,-6.332993507385254e-08
490.0,3.783050181640294e-09,1.2486934990871288e-11,-1.3642420526593924e-12,-1.2278178473934531e-11,1.8189894035458565e-12,5.340576171875e-05,-4.842877388000488e-08
500.0,5.0583763472736885e-09,1.2934344934663288e-11,-1.3642420526593924e-12,-1.2732925824820995e-11,1.8189894035458565e-12,6.103515625e-05,-7.078051567077637e-08
510.0,3.8680731611876166e-09,1.2445463820226004e-11,-1.8189894035458565e-12,-1.2278178473934531e-11,9.094947017729282e-13,4.57763671875e-05,-4.842877388000488e-08
520.0,2.9816870751943665e-09,1.289431282089738e-11,-1.8189894035458565e-12,-1.2732925824820995e-11,9.094947017729282e-13,4.57763671875e-05,-4.842877388000488e-08
530.0,2.9451005721170265e-09,1.33435612507321e-11,-1.8189894035458565e-12,-1.318767317570746e-11,9.094947017729282e-13,4.57763671875e-05,-6.332993507385254e-08
540.0,2.9816870751943665e-09,1.325024848877862e-11,-9.094947017729282e-13,-1.318767317570746e-11,9.094947017729282e-13,5.340576171875e-05,-5.587935447692871e-08
550.0,3.8680731611876166e-09,1.3312529670933552e-11,0.0,-1.318767317570746e-11,1.8189894035458565e-12,5.340576171875e-05,-6.332993507385254e-08
560.0,3.754281321679498e-09,1.458739910262506e-11,9.094947017729282e-13,-1.4097167877480388e-11,3.637978807091713e-12,3.814697265625e-05,-5.587935447692871e-08
570.0,4.31836512661339e-09,1.3979321146452456e-11,-9.094947017729282e-13,-1.318767317570746e-11,4.547473508864641e-12,3.0517578125e-05,-2.60770320892334e-08
580.0,3.4218976406145536e-09,1.4923752206797815e-11,-1.8189894035458565e-12,-1.4097167877480388e-11,4.547473508864641e-12,1.52587890625e-05,-2.60770320892334e-08
590.0,3.8680731611876166e-09,1.4494960351393482e-11,-1.8189894035458565e-12,-1.3642420526593924e-11,4.547473508864641e-12,3.0517578125e-05,-2.60770320892334e-08
600.0,4.839294052409597e-09,1.4387562277585289e-11,-1.8189894035458565e-12,-1.318767317570746e-11,5.4569682106375694e-12,3.814697265625e-05,-3.3527612686157227e-08
610.0,6.177695077574625e-09,1.5673947873087023e-11,-3.637978807091713e-12,-1.4551915228366852e-11,4.547473508864641e-12,3.0517578125e-05,-2.60770320892334e-08
620.0,5.890201144234053e-09,1.5548103872132522e-11,-3.637978807091713e-12,-1.4097167877480388e-11,5.4569682106375694e-12,7.62939453125e-06,-1.1175870895385742e-08
630.0,6.071480368452751e-09,1.5785694775067698e-11,-4.547473508864641e-12,-1.4097167877480388e-11,5.4569682106375694e-12,1.52587890625e-05,-7.450580596923828e-09
640.0,6.4859112152755816e-09,1.612270161898399e-11,-4.547473508864641e-12,-1.4097167877480388e-11,6.366462912410498e-12,7.62939453125e-06,0.0
650.0,7.522988329363759e-09,1.719041226482277e-11,-5.4569682106375694e-12,-1.4097167877480388e-11,8.185452315956354e-12,1.52587890625e-05,1.4901161193847656e-08
660.0,7.805905590877035e-09,1.786873572599552e-11,-6.366462912410498e-12,-1.4551915228366852e-11,8.185452315956354e-12,1.52587890625e-05,1.4901161193847656e-08
670.0,8.798410942634188e-09,1.677641807482061e-11,-6.366462912410498e-12,-1.318767317570746e-11,8.185452315956354e-12,1.52587890625e-05,1.4901161193847656e-08
680.0,8.381903171539307e-09,1.7891866785163075e-11,-8.185452315956354e-12,-1.3642420526593924e-11,8.185452315956354e-12,2.288818359375e-05,3.725290298461914e-08
690.0,8.18557843158345e-09,1.7891866785163075e-11,-8.185452315956354e-12,-1.3642420526593924e-11,8.185452315956354e-12,2.288818359375e-05,2.9802322387695312e-08
700.0,8.611586880361163e-09,1.7659192816561335e-11,-8.185452315956354e-12,-1.2732925824820995e-11,9.094947017729282e-12,2.288818359375e-05,2.9802322387695312e-08
710.0,9.21962311175807e-09,1.7938039421384038e-11,-9.094947017729282e-12,-1.3642420526593924e-11,7.275957614183426e-12,2.288818359375e-05,3.725290298461914e-08
720.0,8.598987624337612e-09,1.6452806917300715e-11,-8.185452315956354e-12,-1.2278178473934531e-11,7.275957614183426e-12,2.288818359375e-05,2.2351741790771484e-08
730.0,9.148792691709706e-09,1.635194584775054e-11,-7.275957614183426e-12,-1.318767317570746e-11,6.366462912410498e-12,2.288818359375e-05,2.2351741790771484e-08
740.0,8.835301716351079e-09,1.7142226010920026e-11,-8.185452315956354e-12,-1.318767317570746e-11,7.275957614183426e-12,3.0517578125e-05,3.725290298461914e-08
750.0,9.231375344842211e-09,1.6794897703784397e-11,-8.185452315956354e-12,-1.2732925824820995e-11,7.275957614183426e-12,2.288818359375e-05,2.9802322387695312e-08
760.0,9.998171848051198e-09,1.6421354380570655e-11,-8.185452315956354e-12,-1.2732925824820995e-11,6.366462912410498e-12,1.52587890625e-05,2.2351741790771484e-08
770.0,9.998171848051198e-09,1.677641807482061e-11,-8.185452315956354e-12,-1.318767317570746e-11,6.366462912410498e-12,1.52587890625e-05,2.2351741790771484e-08
780.0,9.998171848051198e-09,1.7075747887719068e-11,-9.094947017729282e-12,-1.318767317570746e-11,5.9117155615240335e-12,1.52587890625e-05,2.2351741790771484e-08
790.0,1.0391657056483159e-08,1.6954210770843245e-11,-8.185452315956354e-12,-1.318767317570746e-11,6.821210263296962e-12,1.52587890625e-05,2.2351741790771484e-08
800.0,1.0900851255952963e-08,1.5225549798545405e-11,-6.366462912410498e-12,-1.2278178473934531e-11,6.366462912410498e-12,7.62939453125e-06,1.4901161193847656e-08
810.0,1.1019557310453832e-08,1.4494960351393482e-11,-5.4569682106375694e-12,-1.1823431123048067e-11,6.366462912410498e-12,0.0,1.4901161193847656e-08
820.0,1.1761981007005171e-08,1.527978167033456e-11,-5.4569682106375694e-12,-1.2278178473934531e-11,7.275957614183426e-12,1.52587890625e-05,2.2351741790771484e-08
830.0,1.3671739265232531e-08,1.5844535837626922e-11,-6.366462912410498e-12,-1.2278178473934531e-11,7.73070496506989e-12,1.52587890625e-05,2.2351741790771484e-08
840.0,1.3671739265232531e-08,1.6370904631912708e-11,-7.275957614183426e-12,-1.2732925824820995e-11,7.275957614183426e-12,2.288818359375e-05,2.9802322387695312e-08
850.0,1.4101158762096167e-08,1.618031717467347e-11,-7.275957614183426e-12,-1.318767317570746e-11,5.9117155615240335e-12,7.62939453125e-06,1.4901161193847656e-08
860.0,1.4842839399826925e-08,1.5818411276019185e-11,-7.275957614183426e-12,-1.2278178473934531e-11,6.821210263296962e-12,1.52587890625e-05,1.4901161193847656e-08
870.0,1.4607223813755552e-08,1.5733206866576614e-11,-8.185452315956354e-12,-1.2278178473934531e-11,5.4569682106375694e-12,7.62939453125e-06,2.2351741790771484e-08
880.0,1.4307248867803454e-08,1.5733206866576614e-11,-8.185452315956354e-12,-1.2278178473934531e-11,5.4569682106375694e-12,0.0,1.4901161193847656e-08
890.0,1.4352644800601938e-08,1.6256820282905644e-11,-1.000444171950221e-11,-1.1368683772161603e-11,5.9117155615240335e-12,7.62939453125e-06,2.60770320892334e-08
900.0,1.446551137325267e-08,1.5387672024815976e-11,-9.094947017729282e-12,-1.0913936421275139e-11,5.9117155615240335e-12,7.62939453125e-06,1.4901161193847656e-08
910.0,1.3876393833897393e-08,1.5594585601759034e-11,-9.094947017729282e-12,-1.1823431123048067e-11,4.547473508864641e-12,0.0,7.450580596923828e-09
920.0,1.493749668108806e-08,1.6275889873371198e-11,-1.000444171950221e-11,-1.1823431123048067e-11,5.002220859751105e-12,7.62939453125e-06,1.1175870895385742e-08
930.0,1.5479298437568044e-08,1.577914333474607e-11,-1.000444171950221e-11,-1.0913936421275139e-11,5.4569682106375694e-12,0.0,1.1175870895385742e-08
940.0,1.4710769987601148e-08,1.6090603833576217e-11,-1.0913936421275139e-11,-1.0913936421275139e-11,4.547473508864641e-12,0.0,3.725290298461914e-09
950.0,1.476961330245594e-08,1.6602949711822188e-11,-1.1823431123048067e-11,-1.0913936421275139e-11,4.092726157978177e-12,7.62939453125e-06,1.862645149230957e-08
960.0,1.476961330245594e-08,1.841586411621082e-11,-1.3642420526593924e-11,-1.1823431123048067e-11,3.637978807091713e-12,1.52587890625e-05,1.862645149230957e-08
