time_s,r_error_norm_m,v_error_norm_ms,vx_error_ms,vy_error_ms,vz_error_ms,h_error_m2s,energy_error_Jkg
120.0,0.0003440073653600455,2.8500492979388994e-06,-6.910681804583874e-09,-1.7702959667076357e-06,-2.2335589164867997e-06,19.632423400878906,-0.021967943757772446
130.0,0.00037248688921493644,2.845831435757395e-06,-8.774804882705212e-09,-1.7676729839877225e-06,-2.230249265267048e-06,19.632415771484375,-0.021967940032482147
140.0,0.0004009229511364551,2.8413279195699286e-06,-1.0945086614810862e-08,-1.7648708308115602e-06,-2.2267140593612567e-06,19.632408142089844,-0.021967928856611252
150.0,0.0004293125629684534,2.8365512102681528e-06,-1.3442104318528436e-08,-1.7618967831367627e-06,-2.2229623937164433e-06,19.632408142089844,-0.021967940032482147
160.0,0.00045765290418800893,2.831513107420237e-06,-1.6288367987726815e-08,-1.758759026415646e-06,-2.2190015442902222e-06,19.632400512695312,-0.021967917680740356
170.0,0.00048594136050366055,2.8262294845467686e-06,-1.950502337422222e-08,-1.7554639271111228e-06,-2.21484515350312e-06,19.632408142089844,-0.021967921406030655
180.0,0.0005141759963483627,2.8207151558369367e-06,-2.3112761482479982e-08,-1.7520214896649122e-06,-2.2105023163021542e-06,19.632415771484375,-0.021967928856611252
190.0,0.0005423540058612648,2.814983518525606e-06,-2.713227331696544e-08,-1.7484389900346287e-06,-2.2059821276343428e-06,19.632408142089844,-0.02196793630719185
200.0,0.0005704736881623013,2.809055516864392e-06,-3.1583113013766706e-08,-1.7447273421566933e-06,-2.2013000489096157e-06,19.632415771484375,-0.02196793630719185
210.0,0.0005985323662034498,2.8029476067588284e-06,-3.648597157734912e-08,-1.7408965504728258e-06,-2.1964660845696926e-06,19.632415771484375,-0.02196793630719185
220.0,0.0006265290109738143,2.7966796014069323e-06,-4.185994839644991e-08,-1.7369557099300437e-06,-2.1914947865298018e-06,19.632415771484375,-0.021967928856611252
230.0,0.0006544618789234254,2.7902705425542504e-06,-4.772277861775365e-08,-1.73291664395947e-06,-2.1863970687263645e-06,19.632400512695312,-0.02196793630719185
240.0,0.0006823294989803292,2.7837457588795356e-06,-5.409242476162035e-08,-1.7287902664975263e-06,-2.181192030548118e-06,19.632415771484375,-0.02196793630719185
250.0,0.0007101303740206056,2.777125237481226e-06,-6.098844096413814e-08,-1.7245884009753354e-06,-2.1758905859314837e-06,19.632408142089844,-0.02196793258190155
260.0,0.0007378640133615053,2.7704323918397197e-06,-6.842628863523714e-08,-1.7203219613293186e-06,-2.1705081962863915e-06,19.632400512695312,-0.021967925131320953
270.0,0.0007655290341641066,2.76369488748488e-06,-7.642302080057561e-08,-1.7160054994747043e-06,-2.165062142012175e-06,19.632400512695312,-0.021967917680740356
280.0,0.0007931254147162561,2.756937815058604e-06,-8.499455361743458e-08,-1.7116508388426155e-06,-2.159567884518765e-06,19.63239288330078,-0.021967913955450058
290.0,0.0008206529641129456,2.750189408075291e-06,-9.415634849574417e-08,-1.7072716218535788e-06,-2.1540427042054944e-06,19.63239288330078,-0.02196791023015976
300.0,0.0008481114237796843,2.743478517580671e-06,-1.0392341209808365e-07,-1.702881490928121e-06,-2.1485038814716972e-06,19.63239288330078,-0.02196791023015976
310.0,0.0008755008377177455,2.7368352953233557e-06,-1.1430893209762871e-07,-1.6984940884867683e-06,-2.142969606211409e-06,19.632408142089844,-0.021967921406030655
320.0,0.000902821572511934,2.730289765539901e-06,-1.2532746040960774e-07,-1.6941239664447494e-06,-2.1374562493292615e-06,19.63239288330078,-0.02196791023015976
